Map,agent,final_alive,total_health,transport_rate,road_clear_rate,buried_rescue_rate,dist_per_rescue,dist_per_transport,total_buried_time,rsl21_rate
america03,concentration2_cluster_9_group_none,94.825,86.271,33.284,70.6,39.507,230946866.521,166617734.703,36858.061,0.286
america04,concentration2_cluster_9_group_none,90.381,84.079,39.801,74.556,22.085,61625879.125,185125463.16,53733.789,0.633
america20,concentration2_cluster_9_group_none,78.944,77.805,74.187,64.018,34.746,215719223.068,177149124.34,12687.727,0.36
america35,concentration2_cluster_9_group_none,88.174,88.849,58.097,27.502,7.289,45082424.234,50779660.146,44852.166,0.629
america52,concentration2_cluster_9_group_none,94.775,80.987,44.886,68.627,51.224,47493163.187,263856911.885,41466.2,0.354
argentina10,concentration2_cluster_9_group_none,88.865,91.355,86.301,45.849,58.136,200798041.735,113619314.379,40777.316,0.576
argeria01,concentration2_cluster_9_group_none,87.115,81.318,58.207,80.017,10.906,139094037.398,234477905.452,38990.301,0.591
argeria07,concentration2_cluster_9_group_none,81.789,94.218,69.207,34.673,9.706,173771142.15,172852847.73,39332.119,0.645
austria08,concentration2_cluster_9_group_none,95.712,78.17,69.075,57.643,50.524,54725761.449,246205022.045,54840.739,0.464
austria13,concentration2_cluster_9_group_none,96.124,83.126,73.372,95.132,42.891,237942146.619,102615881.313,13624.477,0.273
austria20,concentration2_cluster_9_group_none,86.463,88.596,94.804,68.029,59.51,87658722.733,66658064.622,26162.961,0.653
austria22,concentration2_cluster_9_group_none,88.131,87.542,48.615,56.311,52.331,64925815.522,60603224.707,55087.312,0.547
austria32,concentration2_cluster_9_group_none,92.454,83.04,41.898,95.661,21.656,77530212.72,189633079.043,39019.143,0.285
austria37,concentration2_cluster_9_group_none,87.232,95.309,56.821,89.262,34.735,175899623.381,209553927.848,16217.599,0.446
belgium04,concentration2_cluster_9_group_none,89.108,77.889,67.608,27.844,18.763,146051464.109,79446905.271,56035.397,0.688
belize01,concentration2_cluster_9_group_none,79.884,92.14,44.817,68.922,33.615,90111266.15,253867209.487,37609.144,0.426
belize04,concentration2_cluster_9_group_none,90.069,88.601,60.066,81.406,4.753,212663257.212,170752945.433,18095.409,0.454
bolivia01,concentration2_cluster_9_group_none,82.571,81.994,66.691,42.305,53.308,129137589.652,74328600.439,21267.481,0.398
bulgaria05,concentration2_cluster_9_group_none,95.307,90.814,34.981,84.457,8.959,183504242.826,42944112.256,49427.753,0.628
bulgaria06,concentration2_cluster_9_group_none,90.086,80.009,94.373,89.905,61.161,67373258.003,161400116.862,20746.162,0.484
burundi03,concentration2_cluster_9_group_none,92.491,89.051,67.87,71.596,7.048,123214111.617,55344404.517,11062.173,0.756
canada33,concentration2_cluster_9_group_none,95.192,81.747,82.047,77.766,2.858,118957145.762,57328955.88,11150.921,0.503
canada34,concentration2_cluster_9_group_none,87.859,87.048,64.926,42.528,3.23,251575658.484,105929593.384,37550.471,0.417
chile01,concentration2_cluster_9_group_none,86.361,82.432,75.129,86.797,25.606,172715981.58,48314961.817,46722.152,0.31
chile03,concentration2_cluster_9_group_none,86.151,78.642,64.86,25.643,42.992,173748144.641,134603633.932,40778.027,0.318
chile21,concentration2_cluster_9_group_none,87.973,85.043,44.246,71.519,14.985,137423490.046,131969588.599,50495.68,0.612
chile23,concentration2_cluster_9_group_none,87.059,82.64,38.253,28.681,18.396,74629581.81,223843211.808,30595.348,0.338
chile39,concentration2_cluster_9_group_none,84.257,78.822,43.246,55.955,54.398,140122621.446,195344748.124,28539.002,0.674
chile47,concentration2_cluster_9_group_none,80.604,85.104,75.695,24.679,44.873,67464910.942,175643124.69,45359.952,0.351
china10,concentration2_cluster_9_group_none,91.928,85.028,93.89,32.671,3.884,248834718.559,109850904.703,19364.784,0.491
china19,concentration2_cluster_9_group_none,86.105,94.26,71.638,62.993,34.666,260368160.384,139336959.08,55243.187,0.664
china41,concentration2_cluster_9_group_none,91.458,82.885,46.889,63.161,56.623,137456828.965,139407077.037,24155.739,0.637
congo10,concentration2_cluster_9_group_none,95.645,86.411,68.258,72.659,5.317,43046339.254,90535925.813,48968.868,0.617
croatia07,concentration2_cluster_9_group_none,83.045,79.062,52.995,73.971,61.12,250373267.87,192384477.306,30228.357,0.36
cuba02,concentration2_cluster_9_group_none,93.719,80.06,72.819,42.77,39.324,231268363.613,68275578.69,46754.973,0.38
ecuador01,concentration2_cluster_9_group_none,95.242,85.989,39.377,55.732,9.617,56302646.783,122933592.593,27475.737,0.514
ejypt04,concentration2_cluster_9_group_none,94.994,77.381,45.277,71.818,25.861,171984668.802,118830588.787,48136.364,0.369
eritrea02,concentration2_cluster_9_group_none,95.016,93.349,42.235,73.904,33.026,210259939.126,155490343.74,13432.473,0.309
germany08,concentration2_cluster_9_group_none,85.242,90.753,79.398,46.414,23.652,101498761.159,202404631.013,56656.928,0.752
germany17,concentration2_cluster_9_group_none,84.61,87.335,88.738,38.779,43.276,71987506.038,101377253.546,52861.506,0.377
greece06,concentration2_cluster_9_group_none,83.974,92.06,59.115,53.329,13.955,137750369.486,73773663.823,59805.075,0.333
greece22,concentration2_cluster_9_group_none,81.353,84.559,42.246,60.275,51.659,163466937.283,261272813.375,53673.759,0.729
hukuoka01,concentration2_cluster_9_group_none,96.92,78.414,93.606,94.482,5.625,181024199.662,104398882.963,40064.915,0.44
hungary01,concentration2_cluster_9_group_none,80.455,80.045,83.924,24.542,55.17,52801029.917,53987314.1,10380.404,0.382
ibaragi,concentration2_cluster_9_group_none,86.07,88.881,50.809,41.898,41.661,108229260.111,166585139.414,19913.712,0.697
iceland06,concentration2_cluster_9_group_none,88.241,89.223,87.043,26.762,36.873,60327032.987,122422655.339,11079.767,0.298
iceland07,concentration2_cluster_9_group_none,89.849,95.71,33.15,58.38,62.252,148143008.439,255878268.758,39275.922,0.679
india06,concentration2_cluster_9_group_none,95.107,90.706,45.931,89.79,14.237,228895290.631,134574272.565,48798.248,0.756
india10,concentration2_cluster_9_group_none,85.433,91.025,33.537,60.351,5.167,111064517.391,75335339.687,45509.096,0.542
india13,concentration2_cluster_9_group_none,83.157,86.194,91.666,41.516,41.43,259364385.834,137982292.565,20622.6,0.344
indonesia43,concentration2_cluster_9_group_none,83.587,85.915,40.417,75.172,40.978,115369191.332,223990935.034,24972.581,0.591
indonesia63,concentration2_cluster_9_group_none,88.961,81.771,68.649,64.183,15.509,188491802.801,190312345.051,45898.912,0.588
indonesia79,concentration2_cluster_9_group_none,79.975,87.477,43.803,71.898,4.012,186236164.679,88219843.711,17471.03,0.517
indonesia80,concentration2_cluster_9_group_none,82.85,84.034,89.294,48.572,10.719,251659019.927,137574958.984,20993.752,0.547
ishikawa,concentration2_cluster_9_group_none,81.29,84.059,56.56,93.84,55.36,242033391.636,77540499.463,50524.956,0.466
italy16,concentration2_cluster_9_group_none,83.969,86.245,68.398,30.927,35.236,108265562.842,41923349.694,60786.597,0.732
italy36,concentration2_cluster_9_group_none,91.754,82.642,75.43,86.072,27.274,159730215.779,158474492.844,27051.279,0.546
italy54,concentration2_cluster_9_group_none,92.618,77.636,45.657,48.288,37.42,204986424.75,131343110.745,15027.738,0.36
mongolia05,concentration2_cluster_9_group_none,91.924,80.725,91.306,85.33,24.048,108600042.795,81384355.054,32354.861,0.507
myanmar03,concentration2_cluster_9_group_none,88.02,89.102,80.202,34.117,62.39,251325596.354,207252238.366,25853.168,0.256
myanmar11,concentration2_cluster_9_group_none,89.67,90.812,57.144,52.896,56.681,261401977.993,47891527.773,18717.058,0.42
myanmar12,concentration2_cluster_9_group_none,90.69,88.001,54.182,43.796,11.646,248311703.327,139562728.878,13594.757,0.598
myanmar13,concentration2_cluster_9_group_none,86.813,87.574,49.003,52.789,11.245,244578654.33,113670224.758,32954.24,0.473
myanmar14,concentration2_cluster_9_group_none,83.482,81.741,48.063,33.365,46.095,218981190.866,139784247.292,49577.856,0.332
myanmar15,concentration2_cluster_9_group_none,87.001,80.377,35.846,30.111,4.02,175803132.471,113512534.994,53667.78,0.452
nara01,concentration2_cluster_9_group_none,95.696,93.868,37.23,35.659,61.844,108292646.198,253966435.615,56742.466,0.303
netherlands04,concentration2_cluster_9_group_none,82.382,91.243,57.197,95.644,57.17,92587709.284,247440598.575,17381.521,0.41
new-zealand02,concentration2_cluster_9_group_none,86.396,94.266,77.999,55.429,30.746,47428610.327,245928860.364,56208.686,0.722
new-zealand20,concentration2_cluster_9_group_none,90.184,86.498,50.789,92.361,58.073,116163339.174,163275671.605,44525.21,0.737
okayama,concentration2_cluster_9_group_none,93.043,92.351,73.428,25.716,8.426,265268830.936,174388004.407,29649.666,0.414
peru13,concentration2_cluster_9_group_none,95.404,91.323,47.814,48.872,55.555,54681166.084,103221112.163,37115.267,0.262
peru17,concentration2_cluster_9_group_none,93.564,88.318,74.347,66.128,46.162,78120058.395,149261149.223,51002.566,0.364
peru19,concentration2_cluster_9_group_none,95.751,91.925,33.552,45.9,47.208,43413263.296,231863056.188,42931.899,0.255
peru24,concentration2_cluster_9_group_none,90.341,77.168,43.749,45.32,42.206,175680781.035,181414132.302,16437.552,0.736
philippines20,concentration2_cluster_9_group_none,91.903,79.132,85.993,93.013,29.134,134869049.605,158751604.135,38521.883,0.592
philippines22,concentration2_cluster_9_group_none,91.723,88.258,51.458,41.419,42.005,134216104.387,88799052.769,47659.802,0.719
