Map,agent,final_alive,total_health,transport_rate,road_clear_rate,buried_rescue_rate,dist_per_rescue,dist_per_transport,total_buried_time,rsl21_rate
america03,distributed,78.641,90.355,53.013,55.836,24.69,161426646.591,106875420.258,19531.6,0.259
america04,distributed,84.767,90.174,39.262,39.06,40.167,165594101.906,101570770.036,42651.166,0.649
america20,distributed,80.87,91.056,63.275,53.084,61.934,142377034.1,45248045.048,32623.447,0.346
america35,distributed,95.761,90.182,68.378,32.205,37.645,116594461.1,72555000.878,51266.533,0.5
america52,distributed,83.007,95.917,77.386,39.153,47.505,187245986.054,103108942.563,30840.549,0.661
argentina10,distributed,79.129,84.687,74.472,56.97,7.026,211448171.309,100946108.389,36723.833,0.308
argeria01,distributed,80.133,93.184,37.451,33.612,37.267,175302101.797,144401029.249,56609.447,0.377
argeria07,distributed,89.467,83.246,71.472,49.252,60.119,166354361.317,56866527.24,45506.75,0.335
austria08,distributed,78.47,94.348,45.467,52.072,15.087,151071706.254,255402254.306,37807.88,0.349
austria13,distributed,94.178,83.787,62.357,44.358,33.307,86457757.546,71994514.479,43341.724,0.604
austria20,distributed,78.341,89.902,81.228,42.532,57.076,90432440.584,114476414.08,22246.439,0.273
austria22,distributed,96.439,80.272,38.326,72.775,52.269,105912928.051,266348272.556,35399.419,0.394
austria32,distributed,85.82,86.855,52.248,55.775,3.345,104601691.355,205343234.316,27818.315,0.317
austria37,distributed,86.09,93.883,35.851,53.55,32.784,265160922.545,57949510.472,51095.522,0.335
belgium04,distributed,85.707,78.854,83.676,38.281,6.008,155860596.308,105153302.34,11146.325,0.423
belize01,distributed,86.346,86.021,34.024,33.157,2.495,211084734.786,168215819.08,39776.07,0.49
belize04,distributed,89.917,81.561,40.066,64.711,47.877,244264843.258,100992236.956,16349.058,0.402
bolivia01,distributed,78.504,93.526,55.264,43.545,14.39,239183135.441,78819661.355,28188.199,0.473
bulgaria05,distributed,89.501,81.592,37.989,45.448,20.711,229372564.241,230882263.463,54583.215,0.354
bulgaria06,distributed,92.79,77.899,80.27,39.664,59.319,217222615.654,93212458.713,20149.623,0.558
burundi03,distributed,89.963,95.541,53.128,54.696,36.891,62234338.873,227620442.654,50044.738,0.455
canada33,distributed,82.323,83.92,84.702,39.672,16.344,265842225.103,154828877.804,52508.272,0.509
canada34,distributed,82.791,81.02,93.639,47.408,59.503,202605791.086,52695681.828,53309.805,0.742
chile01,distributed,79.055,79.973,93.968,70.482,51.991,208136780.105,102213285.573,49889.164,0.385
chile03,distributed,80.91,80.072,60.603,41.27,41.4,57106957.655,181194469.541,24139.046,0.374
chile21,distributed,93.346,86.335,76.624,36.849,7.452,183574464.626,76815339.043,20634.638,0.555
chile23,distributed,88.706,94.073,80.607,64.571,6.122,185910961.951,192372793.488,59092.766,0.606
chile39,distributed,86.875,95.543,34.447,85.634,39.179,109229185.756,199883877.164,44237.054,0.435
chile47,distributed,93.195,93.052,94.677,25.906,14.444,118426940.572,195425437.63,30859.919,0.726
china10,distributed,87.835,83.481,39.507,74.229,45.854,172442736.863,61288112.208,45820.613,0.575
china19,distributed,79.354,89.982,70.547,97.514,13.785,169937507.213,223732773.489,48339.545,0.26
china41,distributed,92.045,78.375,38.505,75.396,10.154,149555960.961,244045272.895,46917.914,0.62
congo10,distributed,84.41,90.22,42.222,39.801,18.05,188522304.376,76138946.947,10727.306,0.731
croatia07,distributed,82.21,82.933,92.886,33.108,61.72,224739180.145,191366888.073,20007.805,0.274
cuba02,distributed,93.611,77.086,90.158,28.074,11.804,205615330.006,147243021.424,31080.622,0.58
ecuador01,distributed,95.547,95.192,45.029,96.309,29.83,208318239.308,110833524.878,12644.834,0.548
ejypt04,distributed,89.249,90.855,52.915,89.899,20.781,47170719.438,257829189.047,37924.749,0.599
eritrea02,distributed,88.974,83.557,51.228,54.485,7.44,133370832.682,145266318.839,49523.325,0.42
germany08,distributed,85.971,77.747,56.139,88.669,32.267,178802667.278,120296263.539,56240.044,0.691
germany17,distributed,86.621,81.361,83.86,74.964,33.815,159709837.193,48578648.039,32683.668,0.42
greece06,distributed,89.676,95.106,93.623,39.016,17.74,164819064.345,194762577.682,42346.375,0.511
greece22,distributed,96.3,77.918,61.521,62.974,29.504,123595376.664,182078325.313,27577.1,0.656
hukuoka01,distributed,83.734,86.127,73.485,55.95,14.368,93088652.005,202533010.616,50518.031,0.307
hungary01,distributed,87.222,84.156,38.597,44.613,52.943,216348395.664,223124040.602,50357.821,0.414
ibaragi,distributed,82.404,86.903,39.06,32.444,7.502,62747903.426,51682833.948,51491.856,0.368
iceland06,distributed,94.233,95.915,73.534,29.265,9.73,186289744.921,178698752.997,52824.563,0.413
iceland07,distributed,81.507,89.39,52.661,54.855,51.254,101886973.742,92585261.526,41445.241,0.679
india06,distributed,78.334,84.889,60.44,89.467,34.652,108738574.311,189156321.627,58701.746,0.697
india10,distributed,90.021,85.383,74.62,88.895,15.413,132936839.264,264818966.816,45704.013,0.387
india13,distributed,81.669,86.432,54.543,60.445,47.047,126927956.492,74618998.859,28822.351,0.75
indonesia43,distributed,80.909,91.098,81.778,36.424,58.438,70734453.456,58294458.805,55631.784,0.576
indonesia63,distributed,80.313,95.513,53.022,82.975,36.942,238859075.481,110271662.832,58505.1,0.529
indonesia79,distributed,94.159,90.971,55.654,45.424,15.995,245232405.164,150589806.565,27809.645,0.343
indonesia80,distributed,80.107,90.223,63.491,95.603,29.35,60269623.133,233069747.084,23659.681,0.621
ishikawa,distributed,91.314,77.713,66.253,88.938,39.804,118820489.298,149532570.354,40012.966,0.585
italy16,distributed,82.079,86.836,43.899,55.814,35.555,135387663.518,264863818.527,50867.372,0.748
italy36,distributed,81.35,82.395,82.403,72.532,49.805,122361089.58,140974806.904,38798.051,0.728
italy54,distributed,87.891,83.105,59.545,85.232,59.914,62952808.978,187556584.042,24703.991,0.388
mongolia05,distributed,93.884,86.131,39.168,48.16,7.442,248268098.131,69543082.734,47574.91,0.506
myanmar03,distributed,96.251,83.017,92.652,96.237,39.397,196100514.73,43063051.382,11189.829,0.359
myanmar11,distributed,88.928,85.115,69.103,71.449,22.838,126469340.474,111430909.808,53307.419,0.328
myanmar12,distributed,91.624,87.518,88.494,75.074,20.135,195108121.413,58004431.075,49695.106,0.752
myanmar13,distributed,89.417,87.981,54.798,27.924,8.722,106803374.178,232010949.481,53269.867,0.339
myanmar14,distributed,81.816,92.016,82.788,55.989,62.883,253495677.425,77233804.028,55396.817,0.542
myanmar15,distributed,89.188,79.606,56.567,56.964,47.714,72105747.669,72275443.739,42490.944,0.532
nara01,distributed,94.043,89.582,58.292,56.29,23.83,198031511.665,124553758.872,35149.23,0.332
netherlands04,distributed,96.813,89.476,46.587,27.502,14.633,110631015.201,44963215.003,56500.361,0.709
new-zealand02,distributed,89.579,77.942,35.995,97.825,13.854,155417026.133,73960101.353,28805.942,0.301
new-zealand20,distributed,80.731,90.847,81.648,76.188,27.651,160993483.38,150239454.632,35530.268,0.436
okayama,distributed,90.369,83.679,46.141,94.136,42.146,232934971.524,242462534.819,34729.48,0.365
peru13,distributed,83.24,77.6,71.168,28.72,62.838,49456304.713,116171446.817,41376.06,0.271
peru17,distributed,93.233,91.338,74.481,76.383,29.588,82269537.605,241961909.091,12954.284,0.45
peru19,distributed,86.3,80.287,55.076,26.144,38.298,257134182.55,156562970.513,11936.654,0.684
peru24,distributed,83.347,81.212,37.828,38.055,11.122,146548652.166,197014994.021,36847.689,0.463
philippines20,distributed,94.969,86.897,60.691,48.549,26.527,115881205.668,115039826.757,54466.963,0.565
philippines22,distributed,84.365,85.23,48.006,36.53,59.841,123276780.769,228923331.194,53947.71,0.483
philippines25,distributed,86.478,87.068,85.623,73.246,30.116,87582262.037,129444086.4,29982.484,0.675
philippines30,distributed,95.342,81.787,40.388,70.296,36.361,101017704.906,223256427.624,12513.917,0.641
philippines34,distributed,94.304,93.956,50.042,24.216,34.952,192242367.112,157281138.523,56007.397,0.275
romania06,distributed,78.96,87.006,36.302,52.554,44.48,227364818.235,77273530.836,47552.963,0.402
russia08,distributed,94.043,77.158,50.93,54.875,24.975,103538417.538,110147626.612,56696.031,0.607
sapporo,distributed,89.983,89.067,47.806,48.453,29.319,66550886.567,198244665.21,30425.111,0.273
serbia02,distributed,86.802,83.607,33.941,56.327,14.073,54051319.784,202709895.719,24960.131,0.702
serbia04,distributed,81.882,94.319,43.96,50.542,25.608,225743843.651,43175128.147,42983.655,0.339
singapore20,distributed,86.872,95.479,82.06,53.535,35.362,196803817.225,175231355.688,54334.424,0.492
slovenia06,distributed,88.473,85.127,65.611,43.64,62.307,216422909.209,55811581.699,53496.335,0.685
slovenia10,distributed,95.848,92.559,40.901,40.158,52.356,161584733.174,103056897.247,16255.086,0.499
spain07,distributed,96.21,83.84,39.894,88.088,46.193,144674893.206,218673578.775,16021.146,0.651
tokyo03,distributed,93.164,95.733,93.479,34.059,55.602,223473369.235,71370092.895,55225.947,0.317
tokyo12,distributed,82.003,81.066,36.447,66.163,16.557,63040450.015,161857075.78,53279.287,0.744
tokyo21,distributed,87.268,80.155,79.572,56.033,10.108,119414100.134,243851101.042,16551.597,0.552
turkey13,distributed,91.149,88.829,33.175,31.049,39.359,203256022.738,232024928.689,48384.694,0.667
turkey18,distributed,87.604,89.024,84.11,72.012,4.456,198077175.429,139037670.997,54404.41,0.736
turkey33,distributed,90.816,83.71,48.804,45.144,13.246,42337078.591,263095486.384,26208.789,0.607
ukraine01,distributed,92.529,94.593,91.481,56.406,42.038,101550737.81,60081786.18,22810.76,0.374
ukraine11,distributed,86.236,77.264,58.226,65.375,44.526,126387475.565,253373380.297,24967.216,0.495
ukraine12,distributed,93.986,77.172,54.38,51.164,42.538,52091543.64,225877412.944,49853.134,0.685
venezuela01,distributed,95.647,89.455,89.841,24.855,15.576,63740240.596,210080328.844,52225.344,0.584
venezuela02,distributed,86.28,89.777,45.293,39.774,8.855,154726969.674,240320885.4,12644.516,0.675
yamanashi,distributed,83.526,85.693,41.316,33.226,7.384,204298532.977,170947792.004,25819.08,0.516
