"Map","Concentration","Distributed","abs_diff","higher_agent"
"chile47",0.617840888888889,0.602965333333333,0.014876,"Concentration"
"china19",0.605893719806763,0.594117149758454,0.011777,"Concentration"
"china10",0.56598347107438,0.554539944903581,0.011444,"Concentration"
"argeria07",0.393932234432234,0.384545787545788,0.009386,"Concentration"
"austria37",0.385602794411178,0.376583832335329,0.009019,"Concentration"
"venezuela01",0.756866220735786,0.764552954292085,0.007687,"Distributed"
"ecuador01",0.603115897435897,0.595434871794872,0.007681,"Concentration"
"new-zealand20",0.514245454545455,0.506691919191919,0.007554,"Concentration"
"hukuoka01",0.556987284287012,0.549521344232516,0.007466,"Concentration"
"peru19",0.413255790533736,0.406568982880161,0.006687,"Concentration"
"turkey13",0.615174540682415,0.608583989501312,0.006591,"Concentration"
"india06",0.413131914893617,0.407141843971631,0.00599,"Concentration"
"eritrea02",0.482323076923077,0.487897435897436,0.005574,"Distributed"
"chile39",0.577827555555556,0.572406222222222,0.005421,"Concentration"
"ukraine11",0.307017402945114,0.31241499330656,0.005398,"Distributed"
"belize04",0.359181459566075,0.353876725838264,0.005305,"Concentration"
"ukraine01",0.393023474178404,0.387863849765258,0.00516,"Concentration"
"russia08",0.36977398989899,0.374892676767677,0.005119,"Distributed"
"austria32",0.377691131498471,0.382703363914373,0.005012,"Distributed"
"romania06",0.588880341880342,0.583950142450142,0.00493,"Concentration"
"philippines20",0.281215020576132,0.27637962962963,0.004835,"Concentration"
"venezuela02",0.744194350282486,0.739581920903955,0.004612,"Concentration"
"singapore20",0.381230769230769,0.376634615384615,0.004596,"Concentration"
"iceland07",0.367327868852459,0.362871584699454,0.004456,"Concentration"
"italy16",0.434104361370717,0.429870716510903,0.004234,"Concentration"
"turkey33",0.508732833957553,0.504540574282147,0.004192,"Concentration"
"peru17",0.662271457085828,0.666374251497006,0.004103,"Distributed"
"serbia04",0.345156706507304,0.341106241699867,0.00405,"Concentration"
"china41",0.419896265560166,0.41586030428769,0.004036,"Concentration"
"philippines30",0.296877011494253,0.29287816091954,0.003999,"Concentration"
"peru13",0.43905329153605,0.435082549634274,0.003971,"Concentration"
"chile23",0.382515968063872,0.378883233532934,0.003633,"Concentration"
"indonesia79",0.309614255765199,0.306356394129979,0.003258,"Concentration"
"italy54",0.334230158730159,0.330973214285714,0.003257,"Concentration"
"america04",0.312594252873563,0.309345977011494,0.003248,"Concentration"
"canada34",0.342863799283154,0.339692951015532,0.003171,"Concentration"
"okayama",0.428269624573379,0.425390216154721,0.002879,"Concentration"
"bulgaria06",0.304893499308437,0.30203734439834,0.002856,"Concentration"
"austria08",0.308543939393939,0.305757575757576,0.002786,"Concentration"
"canada33",0.334924050632911,0.332209563994374,0.002714,"Concentration"
"philippines34",0.30533140655106,0.302637764932563,0.002694,"Concentration"
"italy36",0.443428232502966,0.446045077105575,0.002617,"Distributed"
"hungary01",0.339088520055325,0.336474412171508,0.002614,"Concentration"
"america35",0.275431773879142,0.272933723196881,0.002498,"Concentration"
"chile21",0.395165532879819,0.397628117913832,0.002463,"Distributed"
"ibaragi",0.328094315245478,0.325642118863049,0.002452,"Concentration"
"austria22",0.334950264550265,0.332669841269841,0.00228,"Concentration"
"bolivia01",0.403658436213992,0.401477366255144,0.002181,"Concentration"
"chile03",0.340563218390805,0.338475444096134,0.002088,"Concentration"
"bulgaria05",0.265124074074074,0.263096296296296,0.002028,"Concentration"
"america03",0.312560878243513,0.310665668662675,0.001895,"Concentration"
"indonesia43",0.343042635658915,0.341196705426357,0.001846,"Concentration"
"iceland06",0.476103668261563,0.474344497607656,0.001759,"Concentration"
"turkey18",0.375235836627141,0.376865612648221,0.00163,"Distributed"
"austria13",0.319333333333333,0.317735815602837,0.001598,"Concentration"
"philippines25",0.337681042228212,0.336124887690925,0.001556,"Concentration"
"yamanashi",0.318853125,0.317421875,0.001431,"Concentration"
"america20",0.286117647058824,0.284695562435501,0.001422,"Concentration"
"belgium04",0.283732106339468,0.282348670756646,0.001383,"Concentration"
"argentina10",0.320448412698413,0.319079365079365,0.001369,"Concentration"
"slovenia06",0.416470833333333,0.415103125,0.001368,"Concentration"
"ejypt04",0.252241333333333,0.250874666666667,0.001367,"Concentration"
"america52",0.358067555555556,0.356893333333333,0.001174,"Concentration"
"netherlands04",0.279342105263158,0.278200779727096,0.001141,"Concentration"
"sapporo",0.334054018445323,0.332971014492754,0.001083,"Concentration"
"argeria01",0.627564539007092,0.628563120567376,0.000999,"Distributed"
"greece22",0.369758620689655,0.368813218390805,0.000945,"Concentration"
"germany08",0.410371747211896,0.41131102850062,0.000939,"Distributed"
"chile01",0.403698666666667,0.404623111111111,0.000924,"Distributed"
"india13",0.438853223593964,0.439740740740741,0.000888,"Distributed"
"new-zealand02",0.308923772609819,0.308140826873385,0.000783,"Concentration"
"spain07",0.339267399267399,0.338503663003663,0.000764,"Concentration"
