Map,agent,final_timestep,initial_rsl21,final_rsl21,final_alive,total_health,transport_rate,road_clear_rate,buried_rescue_rate,dist_per_rescue,dist_per_transport,total_buried_time
mongolia05_9,concentration2_cluster_9_group_none,300.0,250.0,159.15,94.0,92.21,65.0,93.48,76.92,36973365.66,437471132.89,11496.0
mongolia05_9,distributed,300.0,250.0,173.98,97.2,93.32,95.0,89.25,76.92,39482779.7,306916841.65,11871.0
myanmar12_16,distributed,300.0,226.0,58.49,78.76,77.74,100.0,33.98,6.0,76666136.44,196945905.61,43265.0
myanmar12_16,concentration2_cluster_9_group_none,300.0,226.0,58.95,78.76,77.9,75.0,38.24,8.0,54728707.62,240425529.1,42538.0
austria08_20,concentration2_cluster_9_group_none,300.0,220.0,72.97,83.64,81.5,75.0,63.52,27.91,64728569.37,393406652.21,33271.0
austria08_20,distributed,300.0,220.0,71.21,82.73,81.23,76.92,53.69,30.23,43403531.97,291491913.56,32109.0
austria20_25,distributed,300.0,173.0,68.63,85.55,84.63,75.0,42.85,36.36,52614007.09,228873618.27,16352.0
austria20_25,concentration2_cluster_9_group_none,300.0,173.0,68.08,84.97,84.61,42.86,42.01,31.82,43564686.13,348019160.58,16911.0
austria20_15,distributed,300.0,173.0,52.09,82.66,79.8,62.5,59.63,23.53,71057060.34,257859587.51,27098.0
austria20_15,concentration2_cluster_9_group_none,300.0,173.0,49.27,80.35,79.26,71.43,55.95,20.59,65839735.06,244884255.12,27234.0
chile03,distributed,300.0,319.0,97.21,81.5,80.32,77.78,43.23,14.29,118881305.91,463715927.87,52248.0
chile03,concentration2_cluster_9_group_none,300.0,319.0,97.21,81.5,80.32,53.33,42.14,23.81,69478001.53,465686767.06,49950.0
india10_3,distributed,300.0,247.0,82.24,82.59,81.83,50.0,34.83,4.55,207539309.11,573815187.38,38574.0
india10_3,concentration2_cluster_9_group_none,300.0,247.0,82.24,82.59,81.83,100.0,34.2,2.27,467394095.08,497317321.53,39067.0
spain07_2,distributed,300.0,364.0,145.69,85.71,84.77,100.0,59.83,12.5,105754715.82,350199238.75,47368.0
spain07_2,concentration2_cluster_9_group_none,300.0,364.0,144.04,85.44,84.61,87.5,58.9,14.29,94713282.56,559976728.65,46851.0
ejypt04_7,concentration2_cluster_9_group_none,300.0,250.0,47.03,74.0,72.61,62.5,64.16,12.12,132780984.2,414854038.54,56149.0
ejypt04_7,distributed,300.0,250.0,47.31,74.0,72.73,90.91,68.12,16.67,103286486.57,299787705.16,54583.0
bolivia01_12,distributed,300.0,243.0,100.3,86.01,85.32,83.33,56.99,17.14,56557475.11,207137405.38,28487.0
bolivia01_12,concentration2_cluster_9_group_none,300.0,243.0,101.41,86.42,85.44,100.0,55.58,17.14,52316351.08,165948136.24,28766.0
italy54_4,distributed,300.0,336.0,118.15,84.52,82.46,76.92,61.92,21.31,109607486.74,514912436.41,48849.0
italy54_4,concentration2_cluster_9_group_none,300.0,336.0,121.1,84.52,82.95,100.0,62.65,18.03,122849370.52,408455138.74,49445.0
mongolia05_26,concentration2_cluster_9_group_none,300.0,250.0,136.7,91.6,89.68,61.54,88.45,48.15,63202114.88,546320972.1,17975.0
mongolia05_26,distributed,300.0,250.0,144.33,92.8,90.51,55.56,97.07,66.67,46942057.43,513088162.73,14295.0
myanmar15_1,concentration2_cluster_9_group_none,300.0,255.0,94.57,84.31,83.57,100.0,32.03,2.44,205282655.8,202267349.87,36145.0
myanmar15_1,distributed,300.0,255.0,94.57,84.31,83.57,0.0,33.45,9.76,47008791.65,558020448.85,35290.0
iceland07_11,distributed,300.0,244.0,70.13,81.56,79.14,77.78,77.9,18.75,135639560.42,796750169.96,39144.0
iceland07_11,concentration2_cluster_9_group_none,300.0,244.0,67.34,80.33,78.63,50.0,80.28,8.33,335526032.23,1534516649.44,41399.0
chile39_9,distributed,300.0,375.0,236.23,94.4,91.91,85.71,99.01,70.0,41509978.39,351034560.23,21651.0
chile39_9,concentration2_cluster_9_group_none,300.0,375.0,238.81,94.93,92.02,95.83,99.28,60.0,47627077.44,374657136.54,22876.0
ukraine11_21,distributed,300.0,249.0,82.41,84.74,81.2,92.31,52.57,25.49,117049428.48,328804816.56,38231.0
ukraine11_21,concentration2_cluster_9_group_none,300.0,249.0,71.82,80.72,79.42,81.25,54.17,31.37,89830090.87,268758313.1,37226.0
argentina10_8,distributed,300.0,336.0,99.29,80.95,79.85,37.5,35.34,12.31,142497180.44,717809436.47,54849.0
argentina10_8,concentration2_cluster_9_group_none,300.0,336.0,103.09,82.14,80.3,90.0,35.16,15.38,108350182.59,349484519.7,52858.0
chile23_3,concentration2_cluster_9_group_none,300.0,334.0,122.47,84.43,83.32,66.67,57.36,26.32,58818420.06,388803073.53,44670.0
chile23_3,distributed,300.0,334.0,121.89,84.73,83.15,77.78,57.24,15.79,99778581.85,372377994.24,46953.0
italy54_1,distributed,300.0,336.0,101.46,81.85,80.06,92.86,63.78,20.29,111043139.73,385156283.01,54964.0
italy54_1,concentration2_cluster_9_group_none,300.0,336.0,102.85,82.44,80.19,64.71,66.91,24.64,90153622.44,476355787.27,53191.0
peru13_14,distributed,300.0,319.0,123.72,85.89,84.1,71.43,61.39,25.93,83815331.82,434815200.3,42871.0
peru13_14,concentration2_cluster_9_group_none,300.0,319.0,131.3,87.15,85.0,86.67,53.97,27.78,72929062.22,467570054.66,41280.0
argeria07_3,distributed,300.0,182.0,68.62,88.46,82.94,66.67,86.94,51.43,32215791.32,221993105.66,23435.0
argeria07_3,concentration2_cluster_9_group_none,300.0,182.0,65.09,86.81,82.26,73.33,87.93,42.86,39014312.4,228035130.14,24485.0
yamanashi,distributed,300.0,320.0,90.3,80.0,79.16,100.0,38.83,5.97,159448433.62,334912555.33,57924.0
yamanashi,concentration2_cluster_9_group_none,300.0,320.0,89.67,79.69,79.1,100.0,41.29,2.99,322806917.63,637137517.98,58967.0
myanmar03_22,distributed,300.0,240.0,72.48,81.25,80.21,100.0,30.36,8.7,122973327.0,218447828.91,38988.0
myanmar03_22,concentration2_cluster_9_group_none,300.0,240.0,72.48,81.25,80.21,100.0,30.11,6.52,182827645.61,389083215.73,39763.0
america03_24,distributed,300.0,334.0,107.77,82.63,81.19,72.73,60.35,17.46,95952425.06,434424360.66,52060.0
america03_24,concentration2_cluster_9_group_none,300.0,334.0,108.8,82.63,81.38,84.21,65.71,30.16,47202828.22,296429174.59,47897.0
peru13_24,distributed,300.0,319.0,135.44,86.83,85.69,50.0,64.78,22.22,106045688.72,797719115.22,36644.0
peru13_24,concentration2_cluster_9_group_none,300.0,319.0,145.83,89.03,86.67,84.62,54.76,28.89,77881125.31,451561332.07,33707.0
tokyo03_6,distributed,300.0,237.0,69.14,81.01,79.57,75.0,38.43,8.51,70277634.05,317144417.4,40780.0
tokyo03_6,concentration2_cluster_9_group_none,300.0,237.0,70.95,81.43,79.99,66.67,36.4,6.38,110194459.43,329110031.15,41189.0
myanmar11_2,distributed,300.0,235.0,63.82,80.85,78.18,66.67,62.94,16.98,55799691.31,298567366.01,44852.0
myanmar11_2,concentration2_cluster_9_group_none,300.0,235.0,68.57,82.13,79.3,83.33,59.69,22.64,30617303.16,264789599.79,42959.0
myanmar03_12,distributed,300.0,240.0,65.32,79.58,78.54,25.0,31.45,8.0,96082952.23,806110354.02,43294.0
myanmar03_12,concentration2_cluster_9_group_none,300.0,240.0,65.32,79.58,78.54,25.0,33.89,16.0,55632377.85,441088451.86,40896.0
sapporo_23,distributed,300.0,253.0,93.1,84.19,83.45,66.67,38.94,7.32,148616836.16,597183946.11,34937.0
sapporo_23,concentration2_cluster_9_group_none,300.0,253.0,94.59,84.98,83.58,100.0,37.58,12.2,79040360.73,362114951.97,34179.0
ukraine01_29,distributed,300.0,284.0,111.81,85.56,84.47,71.43,66.16,16.67,136345473.32,624531082.59,34634.0
ukraine01_29,concentration2_cluster_9_group_none,300.0,284.0,113.35,85.92,84.67,87.5,72.19,19.05,122044089.78,482787600.41,34234.0
spain07_16,distributed,300.0,364.0,106.71,80.77,79.73,30.0,58.16,13.89,120349905.66,829254435.26,61274.0
spain07_16,concentration2_cluster_9_group_none,300.0,364.0,109.23,81.59,79.99,100.0,57.11,15.28,88535111.51,267164269.98,59194.0
argentina10_2,distributed,300.0,336.0,85.48,78.27,77.52,42.86,37.68,9.86,168985709.94,909561438.77,59773.0
argentina10_2,concentration2_cluster_9_group_none,300.0,336.0,85.48,78.27,77.52,60.0,36.53,7.04,233185370.51,747309102.23,60792.0
chile23,concentration2_cluster_9_group_none,300.0,334.0,127.68,85.03,84.01,58.33,61.36,23.53,75668256.23,629775256.14,40323.0
chile23,distributed,300.0,334.0,124.56,84.43,83.66,71.43,64.88,13.73,108932159.26,487493476.55,42446.0
greece06_15,distributed,300.0,342.0,98.96,80.7,79.49,100.0,37.61,7.58,155673762.39,520512411.73,56557.0
greece06_15,concentration2_cluster_9_group_none,300.0,342.0,97.7,80.41,79.3,80.0,39.17,7.58,161485376.96,584678852.27,56926.0
myanmar12_2,distributed,300.0,226.0,53.56,76.99,76.43,33.33,34.07,5.88,66408491.08,858843408.11,44439.0
myanmar12_2,concentration2_cluster_9_group_none,300.0,226.0,53.56,76.99,76.43,0.0,33.94,0.0,0.0,0.0,45645.0
myanmar12_13,concentration2_cluster_9_group_none,300.0,226.0,65.06,80.09,79.54,0.0,31.77,0.0,0.0,0.0,40275.0
myanmar12_13,distributed,300.0,226.0,65.06,80.09,79.54,0.0,33.2,0.0,0.0,0.0,40275.0
chile23_14,distributed,300.0,334.0,133.61,85.93,84.71,85.71,58.02,13.46,163210838.62,474221480.39,42906.0
chile23_14,concentration2_cluster_9_group_none,300.0,334.0,134.78,86.53,84.74,80.0,54.79,19.23,100117757.0,458486371.11,42384.0
ishikawa_22,distributed,300.0,310.0,118.13,84.84,83.99,75.0,42.93,8.16,141697339.76,400987631.98,42057.0
ishikawa_22,concentration2_cluster_9_group_none,300.0,310.0,114.87,84.19,83.59,100.0,42.84,10.2,113404751.73,307526173.42,41411.0
canada34_10,distributed,300.0,279.0,105.6,85.3,83.75,42.86,64.84,15.56,158264343.26,1009132799.22,37736.0
canada34_10,concentration2_cluster_9_group_none,300.0,279.0,111.01,86.74,84.41,81.82,61.13,24.44,86263269.15,450010131.18,35017.0
tokyo12_29,distributed,300.0,352.0,115.01,82.95,81.36,50.0,49.81,9.09,147506863.21,706484199.02,56523.0
tokyo12_29,concentration2_cluster_9_group_none,300.0,352.0,113.81,82.67,81.22,100.0,49.88,6.06,195333327.87,578507772.39,57410.0
eritrea02_28,distributed,300.0,195.0,93.85,88.21,87.88,100.0,70.57,33.33,64368262.09,249871814.48,15194.0
eritrea02_28,concentration2_cluster_9_group_none,300.0,195.0,93.85,88.21,87.88,100.0,71.05,28.57,63124950.23,222530013.83,15459.0
ukraine01_11,distributed,300.0,284.0,123.09,88.38,85.75,78.57,83.02,31.11,69522422.88,407015963.68,33499.0
ukraine01_11,concentration2_cluster_9_group_none,300.0,284.0,118.19,87.32,85.18,66.67,71.91,26.67,72573348.46,472408479.67,34617.0
china10_4,distributed,300.0,242.0,155.91,94.63,92.31,90.0,76.66,45.45,47746804.26,487358971.7,15054.0
china10_4,concentration2_cluster_9_group_none,300.0,242.0,156.48,94.63,92.38,93.33,57.72,68.18,30101553.41,332586149.65,11956.0
indonesia80_14,distributed,300.0,344.0,101.4,80.81,79.83,25.0,52.0,6.06,103652823.52,648316756.75,57992.0
indonesia80_14,concentration2_cluster_9_group_none,300.0,344.0,101.41,80.81,79.83,80.0,51.7,7.58,84121085.41,428661627.91,57709.0
philippines30_12,distributed,300.0,290.0,90.31,81.72,80.7,80.0,58.06,9.43,148395757.69,354089127.62,45507.0
philippines30_12,concentration2_cluster_9_group_none,300.0,290.0,90.46,81.72,80.74,81.82,59.51,20.75,61706486.79,186715554.23,42888.0
turkey13_17,distributed,300.0,254.0,140.08,91.34,89.91,83.33,71.95,21.43,75298672.26,650261957.5,22288.0
turkey13_17,concentration2_cluster_9_group_none,300.0,254.0,139.0,91.34,89.76,100.0,65.33,14.29,127751522.71,1000075924.55,22803.0
