Map,num_nodes,num_edges,avg_degree,degree_median,degree_max,degree_min,degree_mode,degree_skewness,degree_kurtosis,num_degree4,degree4_ratio,is_connected,num_components,vertex_connectivity,edge_connectivity,diameter,radius,global_clustering,avg_local_clustering,local_clustering_median,local_clustering_sd,local_clustering_max,local_clustering_min,num_zero_local_clustering,zero_local_clustering_ratio,num_articulation_points,articulation_points_ratio,num_bridges,bridges_ratio,num_biconnected_components,max_biconnected_component_size,avg_biconnected_component_size,biconnected_component_size_sd,degree_mean,degree_median,degree_sd2,degree_min,degree_max,degree_cv,closeness_mean,closeness_median,closeness_sd,closeness_min,closeness_max,closeness_gini,closeness_cv,betweenness_mean,betweenness_median,betweenness_sd,betweenness_min,betweenness_max,betweenness_gini,betweenness_cv,eigenvector_mean,eigenvector_median,eigenvector_sd,eigenvector_min,eigenvector_max,eigenvector_gini,eigenvector_cv,pagerank_mean,pagerank_median,pagerank_sd,pagerank_min,pagerank_max,pagerank_gini,pagerank_cv,harmonic_mean,harmonic_median,harmonic_sd,harmonic_min,harmonic_max,harmonic_gini,harmonic_cv,subgraph_mean,subgraph_median,subgraph_sd,subgraph_min,subgraph_max,subgraph_gini,subgraph_cv,alpha_mean,alpha_median,alpha_sd,alpha_min,alpha_max,alpha_gini,alpha_cv,katz_mean,katz_median,katz_sd,katz_min,katz_max,katz_gini,katz_cv,global_efficiency,local_efficiency_mean,local_efficiency_median,avg_clustering,density,assortativity,diameter,avg_path_length,algebraic_connectivity,num_nodes,num_edges,degree_mean,degree_median,degree_sd,degree_min,degree_max,degree_gini,degree_entropy,degree_entropy_norm,degree_skewness,degree_kurtosis,centralization_degree,max_kcore,max_kcore_ratio,modularity,num_communities,community_size_mean,community_size_sd,community_size_max,community_size_gini,community_centralization,cyclomatic_number,cycle_ratio,tree_likeness,top1_degree_share,top5_degree_share,top10_degree_share,powerlaw_xmin,powerlaw_alpha,powerlaw_gof,rosval_min,rosval_1st_qu,rosval_median,rosval_mean,rosval_3rd_qu,rosval_max,rosval_ratio_degree2,rosval_ratio_degree3,rosval_ratio_degree4,rosval_ratio_degree5,rosval_ratio_degree6,rosval_ratio_degree7,rosval_ratio_degree8,rosval_ratio_degree9,rosval_ratio_degree11,rosval_ratio_degree13,rosval_ratio_degree10,moran_i_degree,moran_i_degree_p,moran_i_betweenness,moran_i_betweenness_p,moran_i_closeness,moran_i_closeness_p,geary_c_degree,geary_c_degree_p,geary_c_betweenness,geary_c_betweenness_p,local_moran_degree_mean,local_moran_degree_significant_ratio,local_moran_betweenness_mean,local_moran_betweenness_significant_ratio,getis_gi_degree_mean,getis_gi_degree_hotspot_ratio,getis_gi_betweenness_mean,getis_gi_betweenness_hotspot_ratio,area_total,bbox_width,bbox_height,aspect_ratio,num_edges,avg_edge_length,median_edge_length,sd_edge_length,min_edge_length,max_edge_length,total_edge_length,orientation_entropy,orientation_entropy_norm,order_parameter,node_density_per_km2,edge_density_per_km2,edge_length_density_per_km2,avg_nearest_neighbor_distance,sd_nearest_neighbor_distance,meshedness,spectral_radius,spectral_gap,normalized_spectral_radius,normalized_spectral_gap,natural_connectivity,spectral_entropy,spectral_entropy_norm,graph_energy,estrada_index,laplacian_energy,spectral_mean,spectral_median,spectral_sd,spectral_variance,bipartiteness,d_value
america03,328,416,2.5366,3,5,1,3,-0.2169,1.6183,70,0.213415,TRUE,1,1,1,29,15,0.034602,0.021951,0,0.075459,0.333333,0,299,0.911585,106,0.323171,133,0.319712,136,191,3.4044,16.2063,0.007757,0.009174,0.003688,0.003058,0.015291,0.475423,0.092997,0.093576,0.013075,0.058623,0.127386,0.079128,0.1406,0.030621,0.0131,0.043347,0,0.307956,0.663827,1.415612,0.06567,0.00386,0.148614,0,1,0.823265,2.263052,0.003049,0.003469,0.001202,0.001289,0.006579,0.220173,0.394316,0.122555,0.123753,0.018921,0.072798,0.169429,0.087613,0.154386,3.100088,3.235553,1.255268,1.64145,9.130679,0.220625,0.404914,1.368833,1.417633,0.181818,1.136646,1.809521,0.07338,0.132827,0.756461,0.78343,0.100478,0.628147,1,0.07338,0.132827,0.122554970471292,0.0884146341463415,0,0.0338028169014085,0.0077571417916014,0.0299463019550826,29,10.9823226672634,0.0102930612769411,328,416,2.5366,3,1.2059,1,5,0.253144,1.114663,0.80406,-0.2159,1.6085,0.00758,2,0.597561,0.818703,14,23.4286,8.7064,41,0.195993,0.088345,89,0.213942,0.786058,0.00601,0.028846,0.052885,3,5.3045,0.0972,1,13.287712,19.436327,19.655554,25.661778,48.08536,2.581216,2.649607,2.46092,2.413556,2.404808,2.219889,2.479985,NA,NA,NA,NA,-0.005142,0.52273,0.129876,0.000115,0.684106,0,0.993155,0.427398,0.791154,7E-06,-0.005142,0.045732,0.129876,0.045732,0.03576,0.039634,-0.06259,0.061033,6180461.97,2861.22,2160.08,1.3246,416,113.3398,92.8685,113.218,12.771,1085.6709,47149.34,2.949782,0.823152,0.227438,53.0705,67.3089,7628.77,51.403,40.2443,0.136713,3.593049,0.098575,1.987344,0.004386,1.131431,5.568807,0.961804,431.200821,1016.828879,573.055933,0,0,1.60275,2.568807,0.918607,1.5501793934750800
america04,355,465,2.6197,3,4,1,3,-0.3933,1.613,93,0.261972,TRUE,1,1,1,33,17,0.021063,0.016432,0,0.068357,0.333333,0,334,0.940845,103,0.290141,140,0.301075,142,207,3.493,17.2091,0.0074,0.008475,0.003349,0.002825,0.011299,0.452596,0.075891,0.074605,0.013482,0.048183,0.110763,0.101167,0.177644,0.035699,0.013818,0.060539,0,0.410926,0.685626,1.695821,0.089306,0.001219,0.200032,0,1,0.839382,2.239835,0.002817,0.003064,0.001051,0.001211,0.005401,0.209803,0.373256,0.106087,0.106523,0.018749,0.061138,0.149263,0.101095,0.176736,3.185155,3.32115,1.201916,1.64145,6.37549,0.211094,0.377349,1.383558,1.427899,0.180778,1.13663,1.663398,0.072578,0.130662,0.831766,0.858423,0.10868,0.683318,1,0.072578,0.130662,0.106087463424356,0.0591549295774648,0,0.0242047026279391,0.00740033420864168,0.0343839082668723,33,13.6017028726028,0.00430895628445184,355,465,2.6197,3,1.1857,1,4,0.240236,1.08044,0.983458,-0.3916,1.6039,0.003921,2,0.611268,0.824653,14,25.3571,8.2519,35,0.166398,0.070333,111,0.23871,0.76129,0.004301,0.021505,0.043011,1,1.7827,0.3551,1,14.897273,22.615229,23.551952,31.860841,56.323512,3.13166,3.136555,2.883468,2.72279,2.89376,NA,NA,NA,NA,NA,NA,0.168273,1E-06,0.262012,0,0.88345,0,0.817274,0,0.716086,0,0.168273,0.059155,0.262012,0.067606,0.101546,0.04507,-0.054733,0.062241,4605390.09,2275.58,2023.83,1.1244,465,101.4137,101.6123,65.4856,5.5168,601.883,47157.38,2.629928,0.733895,0.69023,77.0836,100.9686,10239.61,57.0079,36.0502,0.157447,3.658691,0.199601,1.99146,0.001756,1.158501,5.654547,0.963411,471.30088,1130.729931,622.795195,0,0,1.624321,2.638418,0.992515,1.6148622275935200
america20,603,731,2.4245,3,5,1,3,-0.1986,1.5777,91,0.150912,TRUE,1,1,1,33,19,0.01676,0.009895,0,0.052474,0.333333,0,580,0.961857,206,0.341625,240,0.328317,241,363,3.4979,23.2541,0.004027,0.004983,0.001904,0.001661,0.008306,0.472876,0.07416,0.074047,0.010669,0.050939,0.100233,0.082348,0.143859,0.02126,0.008601,0.03706,0,0.299935,0.703075,1.743184,0.050065,0.003856,0.126338,4E-06,1,0.833411,2.523464,0.001658,0.001887,0.000662,0.000714,0.003775,0.220543,0.39941,0.095194,0.095351,0.014273,0.061762,0.132312,0.085606,0.149935,2.872826,3.204976,1.040783,1.64145,6.88929,0.195561,0.362285,1.344836,1.41095,0.165438,1.136633,1.787887,0.06693,0.123017,0.752193,0.789172,0.092533,0.635741,1,0.06693,0.123017,0.0951940176688274,0.0381426202321725,0,0.015660542432196,0.00402748163942194,-0.0577810908498664,33,13.7770670457238,0.00469317292887671,603,731,2.4245,3,1.1465,1,5,0.2482,1.033012,0.745161,-0.1981,1.5724,0.004292,2,0.60199,0.85115,18,33.5,10.7169,49,0.176248,0.054793,129,0.176471,0.823529,0.00342,0.015732,0.029412,3,6.1813,0.0561,1,16.859585,23.983706,24.320174,31.514166,62.109878,2.831169,3.123192,2.698733,2.750135,2.709456,2.440522,NA,NA,NA,NA,NA,-0.048769,0.959481,0.22402,0,0.791135,0,1.036579,0.906847,0.726862,0,-0.048769,0.013267,0.22402,0.066335,0.066106,0.008292,0.018381,0.068241,6104026.43,2455.35,2486.01,1.0125,731,96.3548,81.1284,79.0182,4.9062,606.2827,70435.34,2.469747,0.689196,0.677538,98.7873,119.757,11539.16,48.5425,33.563,0.10741,3.375877,0.08716,1.988226,0.001985,1.055296,6.173429,0.964559,782.338618,1732.313788,1021.216833,0,0,1.560518,2.435216,0.94566,1.6892561055213000
america35,315,357,2.2667,3,5,1,3,0.0398,1.6228,29,0.092063,TRUE,1,1,1,31,16,0.023364,0.009947,0,0.051239,0.333333,0,302,0.95873,122,0.387302,179,0.501401,182,88,2.7253,7.2127,0.007219,0.009554,0.003646,0.003185,0.015924,0.505109,0.079747,0.078265,0.014801,0.049464,0.120168,0.10519,0.185604,0.038269,0.012719,0.066875,0,0.407408,0.736574,1.747483,0.057556,0.001331,0.154616,0,1,0.86467,2.686356,0.003175,0.003446,0.001361,0.00148,0.006914,0.237998,0.428736,0.10617,0.103778,0.019687,0.064056,0.159751,0.104517,0.185431,2.776587,3.13761,1.109648,1.64145,6.900567,0.212487,0.399645,1.316604,1.392379,0.160931,1.13663,1.746201,0.06589,0.122232,0.753982,0.797376,0.092161,0.650916,1,0.06589,0.122232,0.106170313155001,0.0402116402116402,0,0.0173112338858195,0.00721868365180467,-0.130969370951807,31,12.9783439490446,0.00404505053320575,315,357,2.2667,3,1.1449,1,5,0.262585,0.993542,0.716689,0.0397,1.6125,0.008761,2,0.434921,0.850073,17,18.5294,7.0809,37,0.202054,0.113451,43,0.120448,0.879552,0.007003,0.033613,0.061625,3,6.8001,0.0248,1,15.228819,22.575425,22.730173,30.092943,49.477187,3.027056,2.922238,3.024959,2.722145,2.544083,2.72795,NA,NA,NA,NA,NA,-0.055029,0.920744,0.238047,0,0.857174,0,1.052285,0.915723,0.780191,3.4E-05,-0.055029,0.034921,0.238047,0.101587,0.125609,0.028571,0.050986,0.099448,6452908.98,2467.48,2615.18,1.0599,357,105.5343,66.9689,101.1464,6.2094,704.0156,37675.76,3.042834,0.849119,0.46786,48.8152,55.3239,5838.57,46.3091,37.9546,0.0688,3.316997,0.173118,1.997376,0.001762,1.021223,5.506979,0.957837,392.914703,874.62503,525.525625,0,0,1.524743,2.324841,0.913034,1.5864425291566800
america52,581,854,2.9398,3,5,1,3,-0.7745,2.2916,213,0.366609,TRUE,1,1,1,43,22,0.032722,0.031497,0,0.103652,1,0,518,0.891566,126,0.216867,143,0.167447,146,425,4.9726,35.0113,0.005069,0.005172,0.001946,0.001724,0.008621,0.383941,0.065825,0.066506,0.010611,0.039311,0.090767,0.091383,0.161193,0.025261,0.012454,0.039517,0,0.284964,0.650715,1.564334,0.118332,0.034438,0.190404,0,1,0.710534,1.609059,0.001721,0.001884,0.000534,0.000707,0.003443,0.168127,0.310374,0.091903,0.092678,0.014669,0.052233,0.123384,0.090658,0.159613,3.629732,3.624662,1.257016,1.641452,6.671049,0.193996,0.346311,1.445083,1.449369,0.182155,1.136682,1.787642,0.06923,0.126051,0.808374,0.810771,0.101897,0.635856,1,0.06923,0.126051,0.0919034987367019,0.108433734939759,0,0.0403973509933775,0.00506855006231824,0.169963372805857,43,15.6263635824085,0.00353229793143095,581,854,2.9398,3,1.1287,1,5,0.198785,1.101369,0.79447,-0.7725,2.2837,0.003564,2,0.760757,0.836953,15,38.7333,16.0955,64,0.229948,0.036882,274,0.320843,0.679157,0.002927,0.014052,0.025761,3,4.6457,0.1715,1,18.193195,26.902185,27.93137,36.271419,79.75351,3.345125,3.459251,3.233829,3.069973,2.947075,2.820095,NA,NA,NA,NA,NA,0.112958,1.6E-05,0.285201,0,0.891869,0,0.88595,4E-05,0.703387,0,0.112958,0.051635,0.285201,0.079174,-0.097986,0.001721,-0.044548,0.075388,7348727.33,2683.44,2738.55,1.0205,854,104.1726,94.3318,68.5711,4.2161,406.7806,88963.39,3.251419,0.907326,0.141058,79.0613,116.2106,12105.96,54.4339,34.6644,0.236819,3.717945,0.029578,1.980338,0.001389,1.289159,6.164732,0.968836,823.812383,2108.874024,1030.181492,0,0,1.720064,2.958621,0.976584,1.6524158371691500
argentina10,956,1355,2.8347,3,6,1,3,-0.639,2.2684,271,0.283473,TRUE,1,1,1,38,21,0.014625,0.011123,0,0.054024,0.333333,0,911,0.952929,201,0.210251,246,0.18155,248,701,4.8508,44.3874,0.002968,0.003141,0.001165,0.001047,0.006283,0.392441,0.062281,0.061342,0.008564,0.042575,0.087032,0.078115,0.137512,0.016097,0.005368,0.028234,0,0.273067,0.698212,1.753914,0.051712,0.001792,0.149354,0,1,0.875792,2.888167,0.001046,0.001106,0.000342,0.000443,0.002538,0.178168,0.326793,0.081579,0.080997,0.011316,0.053071,0.11241,0.079454,0.138712,3.393239,3.410578,1.138503,1.64145,7.603152,0.185834,0.335521,1.422119,1.444554,0.173082,1.13665,1.895352,0.06654,0.121707,0.750319,0.762156,0.091319,0.599704,1,0.06654,0.121707,0.0815791317203097,0.047071129707113,0,0.0145264116575592,0.00296830160573068,0.0467106986075788,38,16.357000153344,0.0053777486929516,956,1355,2.8347,3,1.1125,1,6,0.203297,1.098738,0.682684,-0.638,2.2637,0.003321,2,0.742678,0.869571,18,53.1111,16.3703,85,0.169456,0.033268,400,0.295203,0.704797,0.002214,0.009594,0.01845,4,15.4085,0.0015,1,20.305634,29.134692,29.766041,38.727648,69.795554,3.224612,3.4024,3.209439,3.030597,2.874972,3.119078,3.801454,NA,NA,NA,NA,0.133117,0,0.337854,0,0.887178,0,0.874168,0,0.66587,0,0.133117,0.07113,0.337854,0.083682,-0.034918,0.029289,0.024198,0.083333,6460711.89,2597.84,2486.95,1.0446,1355,81.5315,87.5066,51.4019,4.7605,423.4175,110475.16,2.20932,0.616523,0.702385,147.9713,209.7292,17099.53,58.3563,36.0028,0.209754,3.765128,0.188055,1.984774,0.001978,1.221785,6.66004,0.970609,1330.030904,3243.936357,1666.192563,0,0,1.684546,2.837696,0.988238,1.687633354043000
argeria01,552,751,2.721,3,6,1,3,-0.8315,3.1484,61,0.110507,TRUE,1,1,1,56,28,0.061917,0.049155,0,0.123957,1,0,464,0.84058,113,0.20471,133,0.177097,139,392,4.964,33.0917,0.004938,0.005445,0.001692,0.001815,0.010889,0.342671,0.056316,0.057069,0.009698,0.028414,0.077825,0.095891,0.172207,0.031644,0.012884,0.046267,0,0.258801,0.657068,1.462114,0.016973,4E-06,0.080419,0,1,0.950048,4.738029,0.001812,0.001868,0.00052,0.000751,0.003676,0.154243,0.287226,0.080883,0.082125,0.013272,0.039034,0.10722,0.091901,0.164084,3.298602,3.375936,1.082084,1.64145,12.252462,0.164146,0.328043,1.39053,1.428591,0.137976,1.136634,1.981937,0.049409,0.099225,NA,NA,NA,NA,NA,NA,NA,0.0808832074818375,0.160326086956522,0,0.0615268329554044,0.00493832031352745,-0.0184668358719818,56,18.4040742786501,0.00210848019917575,552,751,2.721,3,0.9324,1,6,0.158402,0.858179,0.533216,-0.8293,3.137,0.005973,2,0.778986,0.874746,20,27.6,7.1185,42,0.142754,0.056068,200,0.266312,0.733688,0.003995,0.015979,0.029294,4,13.2045,0.0104,1,18.434588,27.260063,29.319605,38.114288,86.534209,3.63205,3.482949,3.355675,3.276246,3.542042,3.23544,3.276274,3.315455,NA,NA,NA,0.144011,0,0.398323,0,0.927436,0,0.8348,0,0.557398,0,0.144011,0.063406,0.398323,0.085145,0.15286,0.023551,-0.07884,0.077449,4534756.68,2288.6,1981.45,1.155,751,72.8414,49.1936,80.0024,0,1029.5797,54703.9,3.533477,0.986036,0.103389,121.7265,165.6098,12063.25,35.808,28.5261,0.181984,3.670185,0.399124,1.983308,0.000801,1.19551,6.096389,0.965882,771.148837,1824.494183,917.842388,0.001812,0,1.661455,2.760432,0.878597,1.548049390506640
argeria07,171,213,2.4912,3,4,1,3,-0.5875,1.8872,15,0.087719,TRUE,1,1,1,29,15,0.051852,0.039961,0,0.107838,0.333333,0,150,0.877193,54,0.315789,65,0.305164,70,36,3.4286,5.8671,0.014654,0.017647,0.005964,0.005882,0.023529,0.406962,0.083217,0.081379,0.015031,0.05812,0.120996,0.101402,0.180619,0.06743,0.029064,0.110192,0,0.511672,0.691329,1.634153,0.14056,0.026502,0.233946,0.000402,1,0.731402,1.664387,0.005848,0.006314,0.00206,0.002717,0.012092,0.191862,0.352256,0.125687,0.125834,0.020715,0.08438,0.174258,0.094179,0.164814,2.990324,3.278201,0.933129,1.641538,5.170557,0.167458,0.31205,1.350732,1.415792,0.142423,1.136963,1.589778,0.054453,0.105441,0.849636,0.890559,0.089587,0.715171,1,0.054453,0.105441,0.125687078268571,0.12280701754386,0,0.0569444444444444,0.0146542827657379,-0.177560975609757,29,12.3957344341245,0.00380962873673522,171,213,2.4912,3,1.0138,1,4,0.200148,0.873771,0.79534,-0.5824,1.8652,0.00898,2,0.643275,0.819579,12,14.25,5.4793,25,0.200292,0.119232,43,0.201878,0.798122,0.00939,0.046948,0.093897,1,1.7997,0.3855,1,11.33985,18.6797,18.873065,25.882046,46.114288,2.965532,3.226262,2.679265,2.810647,2.784653,NA,NA,NA,NA,NA,NA,0.16004,0.000392,0.427494,0,0.822015,0,0.775184,7E-06,0.591251,0,0.16004,0.046784,0.427494,0.134503,0.302624,0.02924,0.052509,0.133333,2993963.65,1689.94,1771.64,1.0483,213,94.936,68.4813,75.1529,6.5408,410.7584,20221.37,3.355875,0.936475,0.082881,57.1149,71.1431,6754.05,49.7028,34.6411,0.127596,3.057123,0.025135,1.990345,0.001611,1.095382,4.911628,0.956351,223.517966,511.345363,281.182791,0,0,1.582998,2.505882,0.97689,1.4617316517143200
austria08,204,220,2.1569,3,6,1,1,0.3472,1.9503,19,0.093137,TRUE,1,1,1,29,19,0.052764,0.031536,0,0.09579,0.333333,0,183,0.897059,80,0.392157,126,0.572727,128,76,2.5859,6.5406,0.010625,0.014778,0.005857,0.004926,0.029557,0.551259,0.077256,0.077481,0.009118,0.05754,0.096805,0.067067,0.118024,0.06006,0.012462,0.087071,0,0.327305,0.706712,1.449733,0.094366,0.005195,0.20832,4.4E-05,1,0.820883,2.207579,0.004902,0.005098,0.00239,0.002446,0.013812,0.262669,0.487618,0.11252,0.111838,0.016229,0.084412,0.148763,0.082381,0.144236,2.647559,3.031302,1.024085,1.641451,6.232088,0.206625,0.386803,1.298363,1.36959,0.155827,1.136662,1.780194,0.06419,0.120018,0.729338,0.769349,0.087534,0.638505,1,0.06419,0.120018,0.112520199877792,0.102941176470588,0,0.0612698412698412,0.0106249396310248,-0.38554615181169,29,13.1320873176857,0.00507712586577608,204,220,2.1569,3,1.189,1,6,0.285205,1.009241,0.627077,0.3446,1.9312,0.019119,2,0.387255,0.85063,13,15.6923,4.3279,22,0.145551,0.160135,17,0.077273,0.922727,0.013636,0.054545,0.1,4,9.0953,0.0162,1,13.924813,21.6797,21.717175,29.153631,52.418294,3.23132,3.298022,3.003653,3.084758,3.08032,3.929975,NA,NA,NA,NA,NA,-0.039338,0.774692,0.225605,0,0.743811,0,1.037209,0.780397,0.766876,5E-06,-0.039338,0.009804,0.225605,0.078431,0.159771,0.004902,0.000174,0.057143,4038102.44,2352.6,1716.45,1.3706,220,89.2306,53.4186,89.7322,5.4521,468.385,19630.72,3.499782,0.976633,0.038713,50.5188,54.481,4861.37,41.7017,35.7207,0.042184,2.935795,0.104664,1.997066,0.002484,0.973638,5.075119,0.95519,239.122286,540.101969,338.866991,0,0,1.472239,2.167488,0.928294,1.4985556547689900
austria13,234,281,2.4017,3,5,1,3,-0.1671,1.6331,30,0.128205,TRUE,1,1,1,25,13,0.022857,0.014957,0,0.066519,0.333333,0,222,0.948718,84,0.358974,103,0.366548,107,128,3.1776,12.1809,0.010308,0.012876,0.004888,0.004292,0.021459,0.474217,0.094886,0.092022,0.016677,0.066667,0.132161,0.099916,0.175759,0.042496,0.021583,0.054095,0,0.313385,0.630078,1.272939,0.100136,0.025612,0.177121,6.7E-05,1,0.730864,1.768805,0.004274,0.004769,0.001704,0.001919,0.008289,0.221676,0.398743,0.12764,0.12738,0.022544,0.086126,0.17651,0.101146,0.176625,2.931433,3.153716,1.153251,1.64145,7.86028,0.209657,0.393409,1.340161,1.40013,0.162974,1.136635,1.732629,0.066165,0.121608,0.773484,0.808096,0.094062,0.656017,1,0.066165,0.121608,0.127639980760071,0.0512820512820513,0,0.0238095238095238,0.0103077656725725,-0.110796933248929,25,10.859176112395,0.0115979449438555,234,281,2.4017,3,1.1389,1,5,0.247179,1.021033,0.73652,-0.1661,1.6191,0.011248,2,0.568376,0.805258,12,19.5,6.2304,32,0.171652,0.102586,48,0.170819,0.829181,0.008897,0.039146,0.074733,3,6.4447,0.042,1,11.850136,17.516201,17.7502,23.323556,40.740222,2.573259,2.453279,2.441235,2.199688,2.286841,NA,NA,NA,NA,NA,NA,-0.019774,0.640562,0.231108,0,0.787479,0,0.987114,0.385081,0.744365,1E-06,-0.019774,0.017094,0.231108,0.076923,0.070039,0.017094,0.052054,0.07483,3323292.96,2215.63,1499.93,1.4771,281,106.6395,87.3743,89.2186,6.6597,553.0651,29965.71,3.297967,0.920315,0.411914,70.4121,84.5547,9016.87,47.6666,35.8737,0.103672,3.269115,0.099865,1.990004,0.005235,1.075491,5.219669,0.957555,302.563746,685.955267,396.141273,0,0,1.57502,2.480687,0.948981,1.522253366589480
