Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
d_value,-6.641141396736809,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
c16,-4.65585950834646,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
bridges_ratio,-3.565884893563092,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
c14,3.2427563869945266,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
c12,2.9841266287266413,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
c5,2.8492055567724366,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
c15,-1.9402897311465166,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
c13,-1.8667221659549131,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
assortativity,-1.5544681392665352,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
c2,0.8313676103577654,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
c7,-0.8278167649047679,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
getis_gi_degree_mean,-0.6957785367420122,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
c9,-0.5221680062424536,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
degree_sd,0.44016749875688405,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
c8,0.1951310413410367,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
moran_i_degree,-0.18482293977614933,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
centralization_degree,-0.05133298134870465,All_Features,buried_rescue_rate,0.11722291893052472,0.901921441998595,5.762618577795254,Concentration
