"degree_sd","bridges_ratio","assortativity","getis_gi_degree_mean","rosval_mean","orientation_entropy","d_value","c1","c5","c11","c15","c16"
745644.834071592,187337.480901523,-1811009.01628936,-1573579.31786759,-6299704.72954574,-914195.198607392,-1083474.72857152,3039214.4223167,-2831873.34863995,5244325.61763181,-4938964.49140894,-3859919.71552539
611674.846344432,381054.438713439,-1208610.60435059,-272441.108843595,-1743481.91194046,-2008911.41036655,8753420.25091109,-8325741.49269906,-3737314.67531926,5754564.45611877,8298057.27695956,22472404.6246422
390065.057154382,347739.183957115,704515.611154803,-880987.015685988,-1324166.81445276,-2440648.71845899,10548924.0971933,1991029.81770929,-2017310.20813567,9688242.75038723,16537834.191358,42136045.5517386
473364.163257004,2195817.82367391,1450758.26423917,446723.839244508,-3030808.252293,-681961.299072033,7096792.53563596,-2028924.93788654,-223442.738259874,4547298.72532657,-2099652.3988561,10264175.0568643
397091.432260167,-1521089.69831612,-4797252.25879398,-4621082.12370265,975710.725681307,-85540.137662858,8598942.6276293,-2057432.48637568,-1624828.20674075,4142953.87244361,5456942.35231869,7142253.84090535
347558.07562886,-1217566.58051749,-1756349.85579487,-2702005.56084367,2666756.54759225,-3512218.54782179,6059253.27259569,-54708.7711656442,-4806167.47135122,3140547.07767125,17027393.4541034,25173821.1055802
-506542.765176113,-965741.183570358,-471620.270386807,1190269.94202168,3649447.93775905,984704.389372209,-2003542.02479392,-6916962.28183983,7594893.85743314,-5451220.97035966,-1214253.38956932,-23710145.7150262
-64107.9165357819,152254.11546558,2598884.92137452,4249552.13946506,-6370898.43803677,553797.802256259,-12685804.533357,5426461.5135864,-545851.979622839,-3756838.14893461,-12623746.7411713,-21870525.1027183
618048.812468347,3080560.43783627,6764095.07747937,1040503.02280012,-2878469.05809411,985846.665319306,-1374243.48629362,5681937.59150041,-1610821.19927416,-4918507.593741,-8756112.21888336,-11380351.7369501
440973.485179748,554875.940209663,1498819.52454672,-911042.404311422,-6962219.36265156,158759.049668517,3706911.47640335,2139889.61639863,2088214.24438725,3537599.99505743,664338.988829156,-1887653.02837708
-344059.570163749,-1339289.04466843,-1313771.42932811,885804.325768334,-5837001.99886354,393518.379349206,3973376.5635354,-6035995.31330596,4676557.74318542,-810922.803584337,-4430518.94343431,-833145.105519423
-347939.339305098,-2124282.10001015,-2835800.07671337,717684.716675848,-3441389.81964255,552612.313648858,10700847.115819,-4396893.85920188,6727860.2721432,1521841.24487539,-63414.1779235708,-160160.621537434
470978.774059935,103251.737931745,474710.430803027,22025.365057203,-6196003.50387306,315406.54883513,2042608.31541115,1461166.5932717,4222310.62579174,6557259.68817743,-9399634.63463785,-18134643.1440256
