Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c16,21488187.088372607,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
c15,9680699.705545112,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
c5,7931071.099003738,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
d_value,7166406.460999388,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
rosval_mean,7043183.965948212,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
c1,-5348855.195277612,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
c11,4582799.858780626,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
assortativity,-4099215.149698461,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
c14,-1765694.8177303064,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
orientation_entropy,1618577.7417093783,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
getis_gi_degree_mean,1449259.5795199801,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
c12,-1094132.9161230463,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
bridges_ratio,978998.6211819412,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
degree_sd,730604.5436660527,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
c9,-455872.29982246796,All_Features,dist_per_rescue,887033.8971084821,0.7253597571865736,26696733.56814751,Concentration
