"centralization_degree","bridges_ratio","getis_gi_degree_mean","rosval_mean","orientation_entropy","c1","c5","c8","c10","c13","c14","c15"
364335.440384407,1414087.71504996,-4254169.49372878,-13302996.7229613,-8578497.95981482,11022924.4463547,-24652498.0961211,-9428.07267725106,-5842583.64318392,14486663.785383,-18024113.0148131,-23000963.3222069
10892592.1544174,2512867.37987943,-746965.560246928,-3881724.61268936,-19045896.3822459,-29220403.4412977,-34820411.3523674,-13704.3150270046,-15819700.0515542,16386026.4825254,-11419316.1069283,42550860.6939037
7692271.91446141,2074962.58154007,-2389598.47036239,-2705885.03875173,-23307209.9683428,6961612.82261435,-22680336.6440013,-18671.5059257244,-13184919.2716019,12404062.6710102,9006932.58787507,83285328.7638746
-3888930.64901201,14084831.213207,1193668.95054433,-6763183.34374339,-6460148.56845046,-7278598.04969199,-1525258.93618598,10709.3284653664,-2108122.13248685,7797685.06698001,-30499657.8376749,-11075811.5862601
10637955.5139747,-9689036.04672472,-12574820.8160309,2122837.5412393,-766810.076585621,-7128960.95642781,-14755762.6350374,-6024.39248004746,-8698311.90236174,14859685.4688155,43985450.2196324,28317528.1861966
8926585.70895712,-7801757.60154659,-7362604.23092558,5626790.65597757,-33351102.5920361,-251947.292726309,-46443557.8626219,-6106.88329477218,-6260537.46110267,13225841.7612239,73425338.6331401,86602048.4050334
3883780.42938717,-6262569.04253339,3253213.88423764,8071296.69214095,9285328.57326019,-24193172.2808513,72108679.2459706,32808.4998036944,12523324.6794787,-5938539.16273086,3951305.43703296,-6429587.10054446
-5843593.63232958,1085345.42090444,11602036.3800014,-13470404.3093375,5293100.91638441,19261921.2632806,-4657276.26939829,19775.4718145362,7291337.00588827,-12379868.3930988,-49454177.545525,-62962502.4431632
-30887693.7941611,20065752.2299676,2865684.22415055,-5889740.13347326,9530061.58214764,20321888.6595651,-11542126.8531034,26668.261955901,11991317.698378,15238452.1920507,-65363108.8289129,-42259401.0960577
-11086150.0574863,3370212.44700332,-2519367.51433751,-15467882.4729454,1471164.09455238,7055352.01524018,18440764.1350889,-56384.2606226536,-8987577.87901096,7349501.39800957,-42734347.8464365,1416864.31465609
-4008414.06372613,-8309873.00507294,2439673.60107714,-12178449.1918288,3895642.62866661,-20639615.4335868,53713046.9266909,11767.0245317042,-3500760.54755683,794766.070238424,-37334051.2682759,-18877696.1738746
7663699.75037675,-13663230.0964262,1945310.27378745,-7515789.3190843,5240537.13616206,-15508278.2224766,65588739.4449041,-9392.18553284129,-8827430.52022029,15255500.899628,16500858.7462264,-620943.623091713
-10154771.6230572,621345.598424821,67484.4466933402,-13309027.2936512,2947611.01530041,5147228.18649278,40075318.2865537,-48731.2570908493,-8214238.5582085,13003352.8116918,-33160201.9733051,-48036098.0933634
-2821071.27189993,13078422.743744,4576500.55218461,-858444.15071851,7542718.44283714,12623120.2268727,6143341.79865412,-51682.7025630758,-5448512.12864935,12773699.1784255,-32129676.2426004,-56479203.1071259
