Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c5,57313123.51811362,All_Features,dist_per_transport,4249041.588886526,0.4204600440153029,125334875.23981419,Concentration
c14,46789143.364671364,All_Features,dist_per_transport,4249041.588886526,0.4204600440153029,125334875.23981419,Concentration
c15,40763330.75174878,All_Features,dist_per_transport,4249041.588886526,0.4204600440153029,125334875.23981419,Concentration
bridges_ratio,18393779.047392827,All_Features,dist_per_transport,4249041.588886526,0.4204600440153029,125334875.23981419,Concentration
centralization_degree,-17854178.998270195,All_Features,dist_per_transport,4249041.588886526,0.4204600440153029,125334875.23981419,Concentration
c1,-15013897.016951988,All_Features,dist_per_transport,4249041.588886526,0.4204600440153029,125334875.23981419,Concentration
c13,-13897426.333253743,All_Features,dist_per_transport,4249041.588886526,0.4204600440153029,125334875.23981419,Concentration
orientation_entropy,10801502.216882978,All_Features,dist_per_transport,4249041.588886526,0.4204600440153029,125334875.23981419,Concentration
rosval_mean,9606750.270807594,All_Features,dist_per_transport,4249041.588886526,0.4204600440153029,125334875.23981419,Concentration
c10,-7281140.030669814,All_Features,dist_per_transport,4249041.588886526,0.4204600440153029,125334875.23981419,Concentration
getis_gi_degree_mean,5863150.29334227,All_Features,dist_per_transport,4249041.588886526,0.4204600440153029,125334875.23981419,Concentration
c8,-829499.4924472576,All_Features,dist_per_transport,4249041.588886526,0.4204600440153029,125334875.23981419,Concentration
