Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c16,-8.117765262251334,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
c15,-7.110884477282887,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
d_value,-5.471499668749497,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
bridges_ratio,-4.376918185521646,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
c14,3.942298178193331,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
c12,3.3637974571287375,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
c7,-1.4772073197111921,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
c5,1.467760932224363,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
centralization_degree,-1.0779461300232807,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
moran_i_degree,-1.073009168297041,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
c8,0.9882687149036199,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
degree_sd,-0.8303688799177963,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
assortativity,-0.6910754461036112,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
c1,0.5941864100589567,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
getis_gi_degree_mean,-0.3975348687810786,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
c2,0.31412935319142277,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
c11,-0.276537998353074,All_Features,road_clear_rate,0.1390737282352866,0.932826744187906,6.446285107731403,Concentration
