Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
d_value,-0.07991300851653003,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
c5,0.0666922443071512,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
c14,0.03587113268258372,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
c15,0.022610155388294466,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
c13,-0.021390681434343695,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
bridges_ratio,-0.021121882864215936,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
rosval_mean,0.012964672474843838,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
centralization_degree,-0.00976604036614679,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
c10,-0.008806714898663954,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
c11,-0.008685282378201396,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
orientation_entropy,0.008248958775889052,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
c16,-0.005865506825850819,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
c2,0.0025039984234013508,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
moran_i_degree,-0.0023717902734494887,All_Features,rsl21_rate,0.0014826195959567949,0.8823042082084818,0.04979215687522244,Concentration
