Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c15,-11581.120918416624,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
c16,6278.1849594530595,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
d_value,6010.347989256692,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
c14,5653.7231693736,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
c5,-4556.549399744575,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
bridges_ratio,4140.3016283903435,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
c11,3845.4544681404195,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
rosval_mean,1870.9314573770018,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
orientation_entropy,-1467.3140316822928,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
c12,-1133.3571985899878,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
c7,1051.2786313377221,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
centralization_degree,-925.1565062252791,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
c10,665.7495484509968,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
assortativity,421.1456374995012,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
c9,206.20735154745694,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
degree_sd,14.365363836658737,All_Features,total_buried_time,103.94969983549979,0.819299657795225,6957.385155611341,Concentration
