Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c16,7022.251464588167,Old_Features,total_buried_time,181.65505263480995,0.7050891142774617,7928.118564159973,Concentration
c15,-6312.249387448486,Old_Features,total_buried_time,181.65505263480995,0.7050891142774617,7928.118564159973,Concentration
c14,4144.154509090391,Old_Features,total_buried_time,181.65505263480995,0.7050891142774617,7928.118564159973,Concentration
c11,3871.8488476377975,Old_Features,total_buried_time,181.65505263480995,0.7050891142774617,7928.118564159973,Concentration
c5,-3169.1851002655685,Old_Features,total_buried_time,181.65505263480995,0.7050891142774617,7928.118564159973,Concentration
c7,2540.5028056508286,Old_Features,total_buried_time,181.65505263480995,0.7050891142774617,7928.118564159973,Concentration
c10,1146.158513092339,Old_Features,total_buried_time,181.65505263480995,0.7050891142774617,7928.118564159973,Concentration
c12,-1144.9972850349839,Old_Features,total_buried_time,181.65505263480995,0.7050891142774617,7928.118564159973,Concentration
c9,-343.4908187228555,Old_Features,total_buried_time,181.65505263480995,0.7050891142774617,7928.118564159973,Concentration
c2,-37.45970336465374,Old_Features,total_buried_time,181.65505263480995,0.7050891142774617,7928.118564159973,Concentration
