Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
d_value,-2.5175995228884473,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
c5,2.2370777333641447,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
c14,1.3502108878552828,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
bridges_ratio,-0.7632780779821465,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
c15,0.7591372323252016,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
c16,-0.632779414120108,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
c13,-0.6091429373178627,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
rosval_mean,0.44235466108525096,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
centralization_degree,-0.35240597795760853,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
c10,-0.3477193469926392,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
c11,-0.33203564265888497,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
orientation_entropy,0.3032380187407077,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
c7,-0.07032797753887693,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
getis_gi_degree_mean,-0.03628089760507105,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
moran_i_degree,-0.022408052123440134,All_Features,total_health,0.046964573369666675,0.8977726785796767,1.742525247951192,Concentration
