Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c16,-15.31046528653362,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
c15,7.371580892968506,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
c14,-4.6243112724084146,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
bridges_ratio,-2.7506515128566735,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
c2,2.7283015812554487,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
c5,-2.32708170715201,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
d_value,2.206341213514945,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
c1,-1.9678792602347868,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
c9,-1.653715338092719,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
c13,-1.6036953243608925,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
getis_gi_degree_mean,-1.186507977215182,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
c11,0.9870905942010545,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
moran_i_degree,0.822757430555288,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
c8,-0.5678474321435164,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
degree_sd,0.5014722278059135,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
orientation_entropy,-0.3803596025094388,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
c7,0.3526365288964109,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
assortativity,0.22702986101814865,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
centralization_degree,0.16458250267491792,All_Features,transport_rate,0.10384118549611109,0.7041582517726032,7.951937315028687,Concentration
