Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
d_value,-8.28222459456899,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
c5,4.1035553359322385,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
bridges_ratio,-3.17511437907274,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
c16,-3.078702873633629,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
c14,2.8754196017509583,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
c13,-2.8663718484035767,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
c12,2.124915842257623,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
c15,-0.7185811140463431,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
assortativity,-0.6278041366555103,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
c7,-0.45594098122976384,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
c2,0.4181696366210181,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
getis_gi_degree_mean,-0.18568493294358202,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
orientation_entropy,0.0707153204258657,All_Features,buried_rescue_rate,0.1866893449781341,0.8849796145187285,5.940195083693208,Distributed
