"Map","agent","buried_rescue_rate"
"america03","distributed",21.1966666666667
"america04","distributed",16.455
"america20","distributed",7.91033333333333
"america35","distributed",11.766
"america52","distributed",16.3836666666667
"argentina10","distributed",10.6513333333333
"argeria01","distributed",31.787
"argeria07","distributed",34.9453333333333
"austria08","distributed",20.9836666666667
"austria13","distributed",17.5683333333333
"austria20","distributed",17.643
"austria22","distributed",14.3406666666667
"austria32","distributed",31.5853333333333
"austria37","distributed",34.1026666666667
"belgium04","distributed",7.287
"belize01","distributed",2.774
"belize04","distributed",16.968
"bolivia01","distributed",10.1113333333333
"bulgaria05","distributed",9.986
"bulgaria06","distributed",24.8943333333333
"burundi03","distributed",4.62066666666667
"canada33","distributed",16.6686666666667
"canada34","distributed",20.1113333333333
"chile01","distributed",24.79
"chile03","distributed",16.9646666666667
"chile21","distributed",37.319
"chile23","distributed",17.3396666666667
"chile39","distributed",63.1173333333333
"chile47","distributed",52.279
"china10","distributed",39.3033333333333
"china19","distributed",53.864
"china41","distributed",23.9113333333333
"congo10","distributed",3.97633333333333
"croatia07","distributed",7.1
"cuba02","distributed",13.2563333333333
"ecuador01","distributed",51.3156666666667
"ejypt04","distributed",17.1493333333333
"eritrea02","distributed",27.5563333333333
"germany08","distributed",28.36
"germany17","distributed",10.0763333333333
"greece06","distributed",10.845
"greece22","distributed",13.6916666666667
"hukuoka01","distributed",35.6213333333333
"hungary01","distributed",18.3133333333333
"ibaragi","distributed",7.262
"iceland06","distributed",39.717
"iceland07","distributed",28.548
"india06","distributed",21.8693333333333
"india10","distributed",5.69
"india13","distributed",17.8733333333333
"indonesia43","distributed",17.413
"indonesia63","distributed",5.15233333333333
"indonesia79","distributed",26.5193333333333
"indonesia80","distributed",9.77433333333333
"ishikawa","distributed",8.373
"italy16","distributed",33.6713333333333
"italy36","distributed",45.5413333333333
"italy54","distributed",23.8896666666667
"mongolia05","distributed",50.413
"myanmar03","distributed",6.95066666666667
"myanmar11","distributed",19.7926666666667
"myanmar12","distributed",3.76666666666667
"myanmar13","distributed",4.25866666666667
"myanmar14","distributed",2.58833333333333
"myanmar15","distributed",6.557
"nara01","distributed",3.49566666666667
"netherlands04","distributed",12.3826666666667
"new-zealand02","distributed",10.2493333333333
"new-zealand20","distributed",33.7856666666667
"okayama","distributed",17.2953333333333
"peru13","distributed",25.895
"peru17","distributed",52.916
"peru19","distributed",16.4263333333333
"peru24","distributed",54.9146666666667
"philippines20","distributed",15.125
"philippines22","distributed",2.76266666666667
"philippines25","distributed",24.5
"philippines30","distributed",18.1883333333333
"philippines34","distributed",11.4243333333333
"romania06","distributed",52.433
"russia08","distributed",34.861
"sapporo","distributed",8.85166666666667
"serbia02","distributed",5.58266666666667
"serbia04","distributed",17.776
"singapore20","distributed",13.0716666666667
"slovenia06","distributed",17.9746666666667
"slovenia10","distributed",6.437
"spain07","distributed",15.9426666666667
"tokyo03","distributed",5.95766666666667
"tokyo12","distributed",7.058
"tokyo21","distributed",3.68866666666667
"turkey13","distributed",25.9133333333333
"turkey18","distributed",28.6353333333333
"turkey33","distributed",36.2506666666667
"ukraine01","distributed",24.9766666666667
"ukraine11","distributed",28.5243333333333
"ukraine12","distributed",19.5316666666667
"venezuela01","distributed",56.4526666666667
"venezuela02","distributed",50.042
"yamanashi","distributed",7.237
