"bridges_ratio","moran_i_degree","getis_gi_degree_mean","rosval_mean","d_value","c1","c9","c11","c15","c16"
186312.65978947,3031273.33809811,-1854031.0460288,-2503651.35279309,-2425703.84296562,2165814.21019518,-62029.0754238935,655162.181458011,-1602782.1394802,-5496160.0399831
398239.288800607,-1991152.66205382,-322603.741037861,-734438.307308871,14969660.9441488,-5995146.0559652,-17406.3330246617,710748.180494859,2686602.00457341,23521649.9754636
384133.768205374,4308445.13677386,-1023445.83840778,-460065.27610094,18217719.1308114,1485358.53582569,12775.5970707024,1214986.87339132,5538022.82485925,47184328.8119477
2325910.84336091,4982976.25321457,521250.466608555,-1249745.43479675,12257669.2590985,-1486435.71592546,231430.023915055,557788.058497915,-762318.924722446,10519278.5370931
-1616935.38713593,-70706.8692464338,-5420703.17250767,379561.425801309,14721372.8382521,-1485884.72730282,-29796.1939582406,513504.453102623,1781407.11928951,7492664.12291367
-1291324.0134017,-637394.122082132,-3167407.05250541,1039296.82563668,10567989.8569489,-47955.1052648833,-75896.8123426901,387049.769881109,5574072.94241677,27293494.0148938
-1027330.00119751,-853235.139848063,1392857.95918002,1495447.72733062,-3883787.61442234,-4937092.72678355,305979.861535826,-670209.036370183,-335419.671084156,-25811399.3365861
165267.638878148,-1664887.95495358,4984531.07140974,-2499309.3893062,-21947268.1562101,3912533.98981289,125742.149091703,-460263.888658864,-4072826.72715774,-23288385.2421356
3274443.6989493,4107769.29724351,1221727.39985887,-1125053.90716352,-2395762.66883378,4088566.62767748,175572.919579675,-607776.002811291,-2847089.45141511,-11913300.5153732
602534.435586325,3813432.04217027,-1058709.01835654,-2813649.30879479,7119921.63338308,1530156.9321752,82277.054087976,434330.821632414,148529.689676586,-609622.005408466
-1422329.30648826,-532767.053237936,1038634.34238274,-2330406.37713658,6789765.70253922,-4326932.98925644,392293.844846149,-100874.072370416,-1460673.43265589,-951500.207858532
-2252930.33393615,-1432824.06596269,843963.439294502,-1380410.95396752,18518384.7206511,-3151883.63152375,320193.090870981,187293.453755647,-34608.3958582862,157504.764144351
110019.972466696,976192.868896419,25162.1157183094,-2450507.48740957,3346921.99406984,1058818.38041427,-438025.037661536,819070.404324864,-3060859.24908019,-19499757.3676351
2169383.89919126,3155879.79099579,1970919.00247684,-151445.186595455,-10440710.8013321,2586904.77968785,-531848.716055676,192434.371505165,-3623491.50135452,-23481129.0336808
-2638260.27294049,-259494.937597902,-677272.376651342,-1387179.47944821,21099914.9954871,354292.263413792,366812.640578465,60541.8037962252,1964246.74859713,42984883.6453625
-958629.909706589,71196.3991988092,-2196421.42986848,3187613.4941523,13918394.9216381,-4794295.62052554,-24076.1607347247,-74861.6409185154,4582950.06633497,56127455.2131272
