"Map","agent","dist_per_rescue"
"america03","distributed",90504310.2586364
"america04","distributed",129809942.9376
"america20","distributed",265954235.791667
"america35","distributed",136143227.943913
"america52","distributed",119356321.261739
"argentina10","distributed",189328918.258261
"argeria01","distributed",78740132.6505
"argeria07","distributed",61438479.5751852
"austria08","distributed",93373508.5122222
"austria13","distributed",104426950.020385
"austria20","distributed",112082992.984231
"austria22","distributed",130161592.3012
"austria32","distributed",75043363.9395455
"austria37","distributed",77554488.2484
"belgium04","distributed",179527625.044
"belize01","distributed",184292760.4664
"belize04","distributed",99453392.4127273
"bolivia01","distributed",116989866.363704
"bulgaria05","distributed",114213111.344167
"bulgaria06","distributed",86274580.7747826
"burundi03","distributed",165597318.305238
"canada33","distributed",167597117.7996
"canada34","distributed",142211824.646667
"chile01","distributed",93171139.1463636
"chile03","distributed",128587844.792273
"chile21","distributed",55452502.4980952
"chile23","distributed",104196762.3348
"chile39","distributed",45322369.1822222
"chile47","distributed",56259576.6172
"china10","distributed",64587347.2824
"china19","distributed",62323359.2372727
"china41","distributed",114810120.123043
"congo10","distributed",190453265.5908
"croatia07","distributed",142956329.22
"cuba02","distributed",115714109.836154
"ecuador01","distributed",57677494.2561538
"ejypt04","distributed",112176847.8448
"eritrea02","distributed",80740181.2557692
"germany08","distributed",88726330.2679167
"germany17","distributed",172612005.365185
"greece06","distributed",164017017.865833
"greece22","distributed",143503195.451304
"hukuoka01","distributed",74912704.5041667
"hungary01","distributed",92409765.8107407
"ibaragi","distributed",143045325.3644
"iceland06","distributed",88083882.12
"iceland07","distributed",100204791.986538
"india06","distributed",90414934.2840909
"india10","distributed",157354408.442083
"india13","distributed",103161228.5096
"indonesia43","distributed",82656624.8211538
"indonesia63","distributed",161293478.14625
"indonesia79","distributed",55541709.8478261
"indonesia80","distributed",125509189.0288
"ishikawa","distributed",134195609.525833
"italy16","distributed",68292900.4928
"italy36","distributed",59579177.5013636
"italy54","distributed",111782480.304
"mongolia05","distributed",69030873.362
"myanmar03","distributed",151007376.351818
"myanmar11","distributed",69753042.4379167
"myanmar12","distributed",102762042.818519
"myanmar13","distributed",108383370.205769
"myanmar14","distributed",94027463.4542308
"myanmar15","distributed",181382155.245263
"nara01","distributed",180916730.340435
"netherlands04","distributed",154731303.069048
"new-zealand02","distributed",169501370.294615
"new-zealand20","distributed",91823608.6004167
"okayama","distributed",117578280.997727
"peru13","distributed",91823343.2383333
"peru17","distributed",69523941.2866667
"peru19","distributed",114014500.489524
"peru24","distributed",59929028.9272
"philippines20","distributed",80430242.7525926
"philippines22","distributed",205699726.747692
"philippines25","distributed",62456700.18625
"philippines30","distributed",79701244.5704
"philippines34","distributed",122980050.6312
"romania06","distributed",68141346.3808
"russia08","distributed",72367558.6647826
"sapporo","distributed",115602281.556
"serbia02","distributed",187343518.843636
"serbia04","distributed",104644979.4632
"singapore20","distributed",180559309.060741
"slovenia06","distributed",99810730.1496154
"slovenia10","distributed",132501047.775263
"spain07","distributed",108121991.26913
"tokyo03","distributed",108584232.470833
"tokyo12","distributed",184539817.2944
"tokyo21","distributed",121981040.645455
"turkey13","distributed",89612031.446087
"turkey18","distributed",77166524.8188
"turkey33","distributed",79746736.9208333
"ukraine01","distributed",109899567.100833
"ukraine11","distributed",94055067.6143478
"ukraine12","distributed",96385422.4978947
"venezuela01","distributed",59967980.84
"venezuela02","distributed",76312475.9688
"yamanashi","distributed",139471375.341818
