"centralization_degree","rosval_mean","c1","c5","c10","c13","c14"
78140.4704546911,-38389377.5691033,12259616.1649062,-15097696.7723934,-7584420.19986461,34052330.1488674,-19842502.6732705
3230568.05648201,-10730687.9066224,-31968664.7663008,-22308883.4560668,-20796505.8282431,37795793.2496233,-13735378.1572084
2457188.65615446,-7787010.16743298,7994835.47484039,-11682299.7911403,-17226736.4147511,28634291.6500899,14465506.2148476
-1193814.14730654,-19246188.0085374,-7839425.65964943,-975474.54569927,-2719225.92463125,18664886.5999254,-36290694.4092835
3185459.59310868,7535019.51250811,-7585756.07478868,-9000084.52195826,-11371190.6197717,34650613.4354496,56175166.1431612
2681466.23207034,17982094.5107163,-178438.771666679,-28819988.3102878,-8188242.05686833,30752717.7231715,91779472.1482765
1263271.16203619,23771884.707313,-26379310.6661732,46335475.5845814,16499104.1785528,-13735992.8741357,5549201.17167077
-1746949.14491224,-39994180.3483744,21202512.6647137,-2085154.77835568,9640058.925559,-27928078.1998031,-59598305.622903
-9357027.42034675,-16753469.1946495,22264813.2934092,-7996645.48551765,15802129.3808898,35265697.6657064,-80263320.629105
-3339517.15237965,-46085655.7582146,7805614.06975996,11783447.4364608,-11800027.4641525,17038720.6178926,-52026105.3322763
-1316704.62245869,-34763164.2937705,-22680817.4176003,30810254.8946976,-4601899.94467261,2618989.1979721,-46282117.7686806
2313376.90372412,-22296871.1305865,-16920241.1210658,40927064.6303121,-11593329.9787298,34992567.6303472,21004201.8141128
-3040214.18224586,-41204293.1664441,5495418.49926409,24789330.6057324,-10888145.6869164,28779644.1406456,-42955999.0713951
-823981.306083242,-2766204.52044292,13859871.469129,4411373.76318807,-7160370.04977397,29023264.0970835,-39465300.9579364
2489703.83455985,-22397521.5185694,1836387.39700448,-863846.535401083,-8847917.32442985,30702122.7814949,10223183.2198625
3748347.95416851,52718719.1862558,-25449451.3373635,-36327971.6595982,-7843041.13251333,-34238586.0159529,72107438.192082
3732807.34659964,3031301.22047399,-11247888.3194387,-27713147.9890601,-5363358.98283185,-787363.086358152,23271347.8782067
3318364.17767566,17127011.0435659,1136829.87781021,-14325020.6666836,4491792.53084161,-64392656.1834145,46258852.7431304
-1274493.86645959,-41780600.6577875,3461618.38171786,-21078803.4791011,-19515765.5442794,-3264001.14055957,-51521902.4940036
-23373725.29525,-61102433.6154684,-13154963.9122237,33932234.8205385,-18094151.3647822,5779509.88219672,-86792751.1962317
2140217.61141591,25196257.4712377,-25332630.5041307,-23940708.2647304,-4562132.43388033,-64236055.8459864,6954502.64193231
-3400628.02115237,-5294311.55934027,9324808.88030958,-3050756.08110189,-11880434.3285729,42951771.5818422,-32235948.5037367
3503527.4566811,-31734434.6143588,10438193.4031819,-17031555.2117514,-15562247.560241,31390747.9563282,812961.530119116
2588882.30449308,-10903290.7814966,1946986.57105519,34206987.710287,-804687.63074335,4323869.28331958,51805141.4970252
1064838.93155896,3126459.00018938,13600839.3756976,-7435561.64054989,-432350.793666719,31519673.1455786,45340143.1902721
