"Map","agent","dist_per_transport"
"america03","distributed",388536586.606818
"america04","distributed",426779101.4356
"america20","distributed",794001939.6975
"america35","distributed",560901803.693913
"america52","distributed",630140138.397391
"argentina10","distributed",893708942.25
"argeria01","distributed",758649603.6255
"argeria07","distributed",316651557.814074
"austria08","distributed",411063733.466296
"austria13","distributed",372441541.886538
"austria20","distributed",407192420.436923
"austria22","distributed",496738545.5136
"austria32","distributed",435531579.326364
"austria37","distributed",503664704.0944
"belgium04","distributed",631116949.1312
"belize01","distributed",438166996.8684
"belize04","distributed",662400747.271818
"bolivia01","distributed",545522885.267037
"bulgaria05","distributed",413199781.594167
"bulgaria06","distributed",334164958.845652
"burundi03","distributed",395348230.231905
"canada33","distributed",648151515.938
"canada34","distributed",685862873.517143
"chile01","distributed",562099173.765455
"chile03","distributed",671926047.372727
"chile21","distributed",281831404.854762
"chile23","distributed",559959528.058
"chile39","distributed",391581312.986296
"chile47","distributed",508484552.186
"china10","distributed",530434388.324
"china19","distributed",624984752.915909
"china41","distributed",606900512.11
"congo10","distributed",630931288.2948
"croatia07","distributed",517880631.480435
"cuba02","distributed",393040698.578462
"ecuador01","distributed",523716386.679231
"ejypt04","distributed",372099310.9248
"eritrea02","distributed",421496889.024231
"germany08","distributed",515575531.984167
"germany17","distributed",547692279.035185
"greece06","distributed",622876808.26
"greece22","distributed",764033557.283913
"hukuoka01","distributed",608019404.592917
"hungary01","distributed",398993678.901482
"ibaragi","distributed",520010308.5652
"iceland06","distributed",595067282.900769
"iceland07","distributed",579602009.373077
"india06","distributed",478686105.260909
"india10","distributed",601551741.86125
"india13","distributed",585580464.5896
"indonesia43","distributed",422956860.208077
"indonesia63","distributed",687249815.436667
"indonesia79","distributed",259655109.571739
"indonesia80","distributed",581077669.87
"ishikawa","distributed",575877861.804167
"italy16","distributed",409732210.4048
"italy36","distributed",446301520.351364
"italy54","distributed",624395876.749
"mongolia05","distributed",643866637.214
"myanmar03","distributed",585818658.201364
"myanmar11","distributed",306791647.114583
"myanmar12","distributed",224097261.591481
"myanmar13","distributed",309513269.945385
"myanmar14","distributed",260515347.072308
"myanmar15","distributed",404790201.690526
"nara01","distributed",297748579.50913
"netherlands04","distributed",638004125.824286
"new-zealand02","distributed",533176315.186538
"new-zealand20","distributed",671980703.878333
"okayama","distributed",607830803.250455
"peru13","distributed",559420848.1025
"peru17","distributed",860455247.302963
"peru19","distributed",643290267.523333
"peru24","distributed",776642344.4504
"philippines20","distributed",324310738.685556
"philippines22","distributed",366661885.827692
"philippines25","distributed",464058197.455417
"philippines30","distributed",398833230.0364
"philippines34","distributed",604763056.3364
"romania06","distributed",565439879.8876
"russia08","distributed",425015944.061739
"sapporo","distributed",482602913.811
"serbia02","distributed",538042011.617273
"serbia04","distributed",492281060.0344
"singapore20","distributed",787586881.163333
"slovenia06","distributed",681484632.653077
"slovenia10","distributed",557269257.925263
"spain07","distributed",489984484.756087
"tokyo03","distributed",468677129.3725
"tokyo12","distributed",764031436.326
"tokyo21","distributed",566663399.319546
"turkey13","distributed",738927170.450435
"turkey18","distributed",434264168.496
"turkey33","distributed",546429887.48125
"ukraine01","distributed",548044528.3225
"ukraine11","distributed",407796072.914783
"ukraine12","distributed",401679063.193158
"venezuela01","distributed",833674728.3768
"venezuela02","distributed",1030665323.1508
"yamanashi","distributed",577839748.654091
