Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
d_value,-2.587991130432108,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
c5,2.1871438121158735,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
c14,1.3897907966403027,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
bridges_ratio,-0.8260387855506008,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
c13,-0.7345194648926132,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
c16,-0.5966807594947126,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
c15,0.5835664044185396,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
c10,-0.4051292714672053,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
rosval_mean,0.3483919938189304,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
centralization_degree,-0.27624781420788314,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
orientation_entropy,0.2748238365782716,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
c11,-0.259409787801733,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
c7,-0.11396780124405942,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
c8,0.023264690440022284,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
moran_i_degree,-0.020551230842583916,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
getis_gi_degree_mean,-0.0023254707670988125,All_Features,final_alive,0.04395858857589052,0.894655876297715,1.7848983159471454,Distributed
