"Map","agent","final_alive"
"america03","distributed",81.796
"america04","distributed",81.896
"america20","distributed",80.1756666666667
"america35","distributed",79.795
"america52","distributed",84.0803333333333
"argentina10","distributed",82.1726666666667
"argeria01","distributed",93.0213333333333
"argeria07","distributed",85.9883333333333
"austria08","distributed",81.9696666666667
"austria13","distributed",82.6586666666667
"austria20","distributed",83.064
"austria22","distributed",82.867
"austria32","distributed",85.8516666666667
"austria37","distributed",85.58
"belgium04","distributed",80.0303333333333
"belize01","distributed",81.1103333333333
"belize04","distributed",83.8263333333333
"bolivia01","distributed",85.6106666666667
"bulgaria05","distributed",78.7226666666667
"bulgaria06","distributed",81.4936666666667
"burundi03","distributed",81.13
"canada33","distributed",82.9536666666667
"canada34","distributed",83.5236666666667
"chile01","distributed",86.1686666666667
"chile03","distributed",82.801
"chile21","distributed",86.689
"chile23","distributed",84.82
"chile39","distributed",92.88
"chile47","distributed",92.9333333333333
"china10","distributed",91.5563333333333
"china19","distributed",93.1036666666667
"china41","distributed",86.5976666666667
"congo10","distributed",83.811
"croatia07","distributed",82.5036666666667
"cuba02","distributed",82.79
"ecuador01","distributed",92.903
"ejypt04","distributed",78.56
"eritrea02","distributed",88.6673333333333
"germany08","distributed",86.7526666666667
"germany17","distributed",79.0143333333333
"greece06","distributed",83.1193333333333
"greece22","distributed",84.2813333333333
"hukuoka01","distributed",91.1453333333333
"hungary01","distributed",83.0976666666667
"ibaragi","distributed",82.0933333333333
"iceland06","distributed",89.0276666666667
"iceland07","distributed",84.6476666666667
"india06","distributed",86.1856666666667
"india10","distributed",81.9573333333333
"india13","distributed",87.01
"indonesia43","distributed",83.1006666666667
"indonesia63","distributed",80.7553333333333
"indonesia79","distributed",81.6456666666667
"indonesia80","distributed",83.1006666666667
"ishikawa","distributed",84.5923333333333
"italy16","distributed",87.4616666666667
"italy36","distributed",88.447
"italy54","distributed",83.016
"mongolia05","distributed",92.7866666666667
"myanmar03","distributed",79.1806666666667
"myanmar11","distributed",80.0853333333333
"myanmar12","distributed",78.4216666666667
"myanmar13","distributed",79.21
"myanmar14","distributed",79.778
"myanmar15","distributed",80.4183333333333
"nara01","distributed",80.95
"netherlands04","distributed",79.9896666666667
"new-zealand02","distributed",81.369
"new-zealand20","distributed",90.0096666666667
"okayama","distributed",86.4163333333333
"peru13","distributed",87.5336666666667
"peru17","distributed",94.581
"peru19","distributed",85.8306666666667
"peru24","distributed",95.5123333333333
"philippines20","distributed",80.1026666666667
"philippines22","distributed",79.2003333333333
"philippines25","distributed",83.3236666666667
"philippines30","distributed",81.1946666666667
"philippines34","distributed",81.0786666666667
"romania06","distributed",92.7206666666667
"russia08","distributed",85.6306666666667
"sapporo","distributed",82.5823333333333
"serbia02","distributed",81.9303333333333
"serbia04","distributed",83.2666666666667
"singapore20","distributed",84.5193333333333
"slovenia06","distributed",86.1983333333333
"slovenia10","distributed",84.41
"spain07","distributed",82.9576666666667
"tokyo03","distributed",84.95
"tokyo12","distributed",81.8653333333333
"tokyo21","distributed",84.2546666666667
"turkey13","distributed",92.5733333333333
"turkey18","distributed",85.0593333333333
"turkey33","distributed",89.837
"ukraine01","distributed",85.6806666666667
"ukraine11","distributed",82.3286666666667
"ukraine12","distributed",80.628
"venezuela01","distributed",96.5213333333333
"venezuela02","distributed",95.876
"yamanashi","distributed",81.939
