Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c16,-8.465106161026332,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
c15,-6.8896028531808655,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
d_value,-5.007253000186798,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
bridges_ratio,-4.053804601244703,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
c14,3.204720859163073,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
c12,2.3604042885631693,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
c7,-1.5908584637381642,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
c5,1.0560395811348746,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
degree_sd,-1.0466084487872456,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
c8,0.9835572439918371,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
centralization_degree,-0.7431536790453314,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
c13,-0.6628856652442661,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
getis_gi_degree_mean,-0.48041181084327744,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
c2,0.3051606090461874,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
moran_i_degree,-0.19320072174917813,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
orientation_entropy,-0.10750983821990484,All_Features,road_clear_rate,0.22656604744917266,0.9282463310374449,6.668502553311692,Distributed
