"Map","agent","road_clear_rate"
"america03","distributed",53.643
"america04","distributed",44.3466666666667
"america20","distributed",24.6323333333333
"america35","distributed",38.2886666666667
"america52","distributed",50.727
"argentina10","distributed",35.1463333333333
"argeria01","distributed",71.819
"argeria07","distributed",84.037
"austria08","distributed",46.0383333333333
"austria13","distributed",50.3946666666667
"austria20","distributed",55.237
"austria22","distributed",55.5663333333333
"austria32","distributed",75.3566666666667
"austria37","distributed",85.0776666666667
"belgium04","distributed",31.095
"belize01","distributed",25.881
"belize04","distributed",58.9363333333333
"bolivia01","distributed",53.959
"bulgaria05","distributed",36.0153333333333
"bulgaria06","distributed",64.0956666666667
"burundi03","distributed",30.0733333333333
"canada33","distributed",52.6926666666667
"canada34","distributed",61.4793333333333
"chile01","distributed",75.0743333333333
"chile03","distributed",45.3306666666667
"chile21","distributed",78.1783333333333
"chile23","distributed",60.7943333333333
"chile39","distributed",96.1276666666667
"chile47","distributed",90.9123333333333
"china10","distributed",76.6383333333333
"china19","distributed",94.098
"china41","distributed",64.0123333333333
"congo10","distributed",31.3716666666667
"croatia07","distributed",37.3106666666667
"cuba02","distributed",39.6323333333333
"ecuador01","distributed",92.6156666666667
"ejypt04","distributed",61.1053333333333
"eritrea02","distributed",72.7943333333333
"germany08","distributed",72.3933333333333
"germany17","distributed",35.2923333333333
"greece06","distributed",41.343
"greece22","distributed",55.8486666666667
"hukuoka01","distributed",81.118
"hungary01","distributed",61.0223333333333
"ibaragi","distributed",44.3116666666667
"iceland06","distributed",77.8613333333333
"iceland07","distributed",76.883
"india06","distributed",70.038
"india10","distributed",33.2456666666667
"india13","distributed",50.2826666666667
"indonesia43","distributed",64.195
"indonesia63","distributed",40.2186666666667
"indonesia79","distributed",81.209
"indonesia80","distributed",50.5946666666667
"ishikawa","distributed",42.451
"italy16","distributed",84.7913333333333
"italy36","distributed",90.5153333333333
"italy54","distributed",60.881
"mongolia05","distributed",87.222
"myanmar03","distributed",26.594
"myanmar11","distributed",51.353
"myanmar12","distributed",30.9936666666667
"myanmar13","distributed",39.479
"myanmar14","distributed",27.446
"myanmar15","distributed",31.8293333333333
"nara01","distributed",30.0846666666667
"netherlands04","distributed",43.6416666666667
"new-zealand02","distributed",30.299
"new-zealand20","distributed",80.2073333333333
"okayama","distributed",55.1896666666667
"peru13","distributed",67.8563333333333
"peru17","distributed",91.285
"peru19","distributed",55.1316666666667
"peru24","distributed",92.1443333333333
"philippines20","distributed",55.902
"philippines22","distributed",26.8676666666667
"philippines25","distributed",73.0476666666667
"philippines30","distributed",54.979
"philippines34","distributed",48.198
"romania06","distributed",91.022
"russia08","distributed",76.7063333333333
"sapporo","distributed",36.0723333333333
"serbia02","distributed",35.1373333333333
"serbia04","distributed",55.2433333333333
"singapore20","distributed",44.69
"slovenia06","distributed",56.7806666666667
"slovenia10","distributed",38.9863333333333
"spain07","distributed",60.506
"tokyo03","distributed",39.837
"tokyo12","distributed",43.576
"tokyo21","distributed",34.1366666666667
"turkey13","distributed",68.1493333333333
"turkey18","distributed",71.3296666666667
"turkey33","distributed",84.4963333333333
"ukraine01","distributed",72.489
"ukraine11","distributed",56.8243333333333
"ukraine12","distributed",53.5536666666667
"venezuela01","distributed",95.3086666666667
"venezuela02","distributed",70.825
"yamanashi","distributed",37.985
