Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
d_value,-0.07834211717255392,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
c5,0.06537363324303257,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
c14,0.03597267503605793,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
c15,0.021180441364681547,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
c13,-0.020763161607401652,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
bridges_ratio,-0.02061533990917003,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
rosval_mean,0.013090535787431832,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
c10,-0.010270345537429846,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
centralization_degree,-0.008656269992196782,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
orientation_entropy,0.008443491084899451,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
c11,-0.007105139976039642,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
c16,-0.00454299151207808,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
c2,0.0027388823383498774,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
moran_i_degree,-8.816863329861148e-4,All_Features,rsl21_rate,0.001615021650563591,0.8765063895330133,0.050045066074708565,Distributed
