"Map","agent","rsl21_rate"
"america03","distributed",0.310665668662675
"america04","distributed",0.309345977011494
"america20","distributed",0.284695562435501
"america35","distributed",0.272933723196881
"america52","distributed",0.356893333333333
"argentina10","distributed",0.319079365079365
"argeria01","distributed",0.628563120567376
"argeria07","distributed",0.384545787545788
"austria08","distributed",0.305757575757576
"austria13","distributed",0.317735815602837
"austria20","distributed",0.338408477842004
"austria22","distributed",0.332669841269841
"austria32","distributed",0.382703363914373
"austria37","distributed",0.376583832335329
"belgium04","distributed",0.282348670756646
"belize01","distributed",0.305951646090535
"belize04","distributed",0.353876725838264
"bolivia01","distributed",0.401477366255144
"bulgaria05","distributed",0.263096296296296
"bulgaria06","distributed",0.30203734439834
"burundi03","distributed",0.306423728813559
"canada33","distributed",0.332209563994374
"canada34","distributed",0.339692951015532
"chile01","distributed",0.404623111111111
"chile03","distributed",0.338475444096134
"chile21","distributed",0.397628117913832
"chile23","distributed",0.378883233532934
"chile39","distributed",0.572406222222222
"chile47","distributed",0.602965333333333
"china10","distributed",0.554539944903581
"china19","distributed",0.594117149758454
"china41","distributed",0.41586030428769
"congo10","distributed",0.362545273631841
"croatia07","distributed",0.334843137254902
"cuba02","distributed",0.332062841530055
"ecuador01","distributed",0.595434871794872
"ejypt04","distributed",0.250874666666667
"eritrea02","distributed",0.487897435897436
"germany08","distributed",0.41131102850062
"germany17","distributed",0.265789924973205
"greece06","distributed",0.346108187134503
"greece22","distributed",0.368813218390805
"hukuoka01","distributed",0.549521344232516
"hungary01","distributed",0.336474412171508
"ibaragi","distributed",0.325642118863049
"iceland06","distributed",0.474344497607656
"iceland07","distributed",0.362871584699454
"india06","distributed",0.407141843971631
"india10","distributed",0.318699055330634
"india13","distributed",0.439740740740741
"indonesia43","distributed",0.341196705426357
"indonesia63","distributed",0.29626862745098
"indonesia79","distributed",0.306356394129979
"indonesia80","distributed",0.346587209302326
"ishikawa","distributed",0.377961290322581
"italy16","distributed",0.429870716510903
"italy36","distributed",0.446045077105575
"italy54","distributed",0.330973214285714
"mongolia05","distributed",0.587306666666667
"myanmar03","distributed",0.270138888888889
"myanmar11","distributed",0.278344680851064
"myanmar12","distributed",0.257858407079646
"myanmar13","distributed",0.267317251461988
"myanmar14","distributed",0.277094052558783
"myanmar15","distributed",0.290116339869281
"nara01","distributed",0.303324973876698
"netherlands04","distributed",0.278200779727096
"new-zealand02","distributed",0.308140826873385
"new-zealand20","distributed",0.506691919191919
"okayama","distributed",0.425390216154721
"peru13","distributed",0.435082549634274
"peru17","distributed",0.666374251497006
"peru19","distributed",0.406568982880161
"peru24","distributed",0.708635991820041
"philippines20","distributed",0.27637962962963
"philippines22","distributed",0.269435663627153
"philippines25","distributed",0.336124887690925
"philippines30","distributed",0.29287816091954
"philippines34","distributed",0.302637764932563
"romania06","distributed",0.583950142450142
"russia08","distributed",0.374892676767677
"sapporo","distributed",0.332971014492754
"serbia02","distributed",0.323323611111111
"serbia04","distributed",0.341106241699867
"singapore20","distributed",0.376634615384615
"slovenia06","distributed",0.415103125
"slovenia10","distributed",0.376023217247098
"spain07","distributed",0.338503663003663
"tokyo03","distributed",0.384268635724332
"tokyo12","distributed",0.318386363636364
"tokyo21","distributed",0.37303071672355
"turkey13","distributed",0.608583989501312
"turkey18","distributed",0.376865612648221
"turkey33","distributed",0.504540574282147
"ukraine01","distributed",0.387863849765258
"ukraine11","distributed",0.31241499330656
"ukraine12","distributed",0.285633986928105
"venezuela01","distributed",0.764552954292085
"venezuela02","distributed",0.739581920903955
"yamanashi","distributed",0.317421875
