"Map","agent","final_alive","total_health","transport_rate","road_clear_rate","buried_rescue_rate","dist_per_rescue","dist_per_transport","total_buried_time","rsl21_rate"
"america03","distributed",81.796,80.512,73.2903333333333,53.643,21.1966666666667,90504310.2586364,388536586.606818,51662.5909090909,0.310665668662675
"america04","distributed",81.896,80.307,73.696,44.3466666666667,16.455,129809942.9376,426779101.4356,46568.36,0.309345977011494
"america20","distributed",80.1756666666667,79.02,64.148,24.6323333333333,7.91033333333333,265954235.791667,794001939.6975,57416.0416666667,0.284695562435501
"america35","distributed",79.795,78.392,63.3986666666667,38.2886666666667,11.766,136143227.943913,560901803.693913,61467.8695652174,0.272933723196881
"america52","distributed",84.0803333333333,82.7236666666667,69.8373333333333,50.727,16.3836666666667,119356321.261739,630140138.397391,52178.8260869565,0.356893333333333
"argentina10","distributed",82.1726666666667,80.9526666666667,68.2556666666667,35.1463333333333,10.6513333333333,189328918.258261,893708942.25,52518.0869565217,0.319079365079365
"argeria01","distributed",93.0213333333333,92.0786666666667,77.3153333333333,71.819,31.787,78740132.6505,758649603.6255,13952.85,0.628563120567376
"argeria07","distributed",85.9883333333333,83.5736666666667,74.51,84.037,34.9453333333333,61438479.5751852,316651557.814074,23179.7407407407,0.384545787545788
"austria08","distributed",81.9696666666667,80.0963333333333,72.7676666666667,46.0383333333333,20.9836666666667,93373508.5122222,411063733.466296,35721.4814814815,0.305757575757576
"austria13","distributed",82.6586666666667,80.6716666666667,81.6333333333333,50.3946666666667,17.5683333333333,104426950.020385,372441541.886538,30758.8461538462,0.317735815602837
"austria20","distributed",83.064,81.8793333333333,76.0056666666667,55.237,17.643,112082992.984231,407192420.436923,25046.1923076923,0.338408477842004
"austria22","distributed",82.867,81.4933333333333,69.215,55.5663333333333,14.3406666666667,130161592.3012,496738545.5136,47316.64,0.332669841269841
"austria32","distributed",85.8516666666667,83.706,67.3756666666667,75.3566666666667,31.5853333333333,75043363.9395455,435531579.326364,42224.3181818182,0.382703363914373
"austria37","distributed",85.58,83.5026666666667,61.4123333333333,85.0776666666667,34.1026666666667,77554488.2484,503664704.0944,42280.28,0.376583832335329
"belgium04","distributed",80.0303333333333,79.0153333333333,67.929,31.095,7.287,179527625.044,631116949.1312,57550.16,0.282348670756646
"belize01","distributed",81.1103333333333,80.277,43.333,25.881,2.774,184292760.4664,438166996.8684,55572.44,0.305951646090535
"belize04","distributed",83.8263333333333,82.6426666666667,65.4183333333333,58.9363333333333,16.968,99453392.4127273,662400747.271818,47754.0909090909,0.353876725838264
"bolivia01","distributed",85.6106666666667,84.706,76.0003333333333,53.959,10.1113333333333,116989866.363704,545522885.267037,31231.037037037,0.401477366255144
"bulgaria05","distributed",78.7226666666667,77.7373333333333,70.0816666666667,36.0153333333333,9.986,114213111.344167,413199781.594167,31797.875,0.263096296296296
"bulgaria06","distributed",81.4936666666667,79.8156666666667,75.6006666666667,64.0956666666667,24.8943333333333,86274580.7747826,334164958.845652,39674.1739130435,0.30203734439834
"burundi03","distributed",81.13,80.326,69.2223333333333,30.0733333333333,4.62066666666667,165597318.305238,395348230.231905,39372.0952380952,0.306423728813559
"canada33","distributed",82.9536666666667,81.504,64.4853333333333,52.6926666666667,16.6686666666667,167597117.7996,648151515.938,35669.84,0.332209563994374
"canada34","distributed",83.5236666666667,81.8153333333333,68.92,61.4793333333333,20.1113333333333,142211824.646667,685862873.517143,42199.5238095238,0.339692951015532
"chile01","distributed",86.1686666666667,84.8153333333333,66.0783333333333,75.0743333333333,24.79,93171139.1463636,562099173.765455,44584.3181818182,0.404623111111111
"chile03","distributed",82.801,81.9126666666667,75.71,45.3306666666667,16.9646666666667,128587844.792273,671926047.372727,45215.9545454545,0.338475444096134
"chile21","distributed",86.689,83.9346666666667,82.0946666666667,78.1783333333333,37.319,55452502.4980952,281831404.854762,18530.0476190476,0.397628117913832
"chile23","distributed",84.82,83.7493333333333,64.279,60.7943333333333,17.3396666666667,104196762.3348,559959528.058,43905.76,0.378883233532934
"chile39","distributed",92.88,90.2276666666667,72.623,96.1276666666667,63.1173333333333,45322369.1822222,391581312.986296,25128.7407407407,0.572406222222222
"chile47","distributed",92.9333333333333,91.2583333333333,75.763,90.9123333333333,52.279,56259576.6172,508484552.186,22910.72,0.602965333333333
"china10","distributed",91.5563333333333,89.7906666666667,82.6706666666667,76.6383333333333,39.3033333333333,64587347.2824,530434388.324,18884.92,0.554539944903581
"china19","distributed",93.1036666666667,90.9283333333333,73.388,94.098,53.864,62323359.2372727,624984752.915909,18074.8636363636,0.594117149758454
"china41","distributed",86.5976666666667,85.0353333333333,73.4263333333333,64.0123333333333,23.9113333333333,114810120.123043,606900512.11,27530.9130434783,0.41586030428769
"congo10","distributed",83.811,83.108,39.2773333333333,31.3716666666667,3.97633333333333,190453265.5908,630931288.2948,48500.12,0.362545273631841
"croatia07","distributed",82.5036666666667,81.6753333333333,47.5636666666667,37.3106666666667,7.1,142956329.22,517880631.480435,34170.6956521739,0.334843137254902
"cuba02","distributed",82.79,81.611,74.5333333333333,39.6323333333333,13.2563333333333,115714109.836154,393040698.578462,37103.4230769231,0.332062841530055
