Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c15,-11886.343556214399,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
d_value,6218.93657470282,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
c16,5937.508734777582,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
c14,5789.235104309851,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
c5,-4864.7759806596205,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
bridges_ratio,4143.749891761224,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
c11,3783.693219861596,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
rosval_mean,1928.3284296789304,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
orientation_entropy,-1595.8686015084038,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
c12,-1128.1625934629594,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
c7,1053.0207061926449,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
centralization_degree,-914.8605527261927,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
c10,792.4903131657632,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
assortativity,343.9886456351526,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
c8,109.80623410721434,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
c9,60.26701839487152,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
getis_gi_degree_mean,-51.43122414527274,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
c1,30.553656977910933,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
degree_sd,17.80948289263648,All_Features,total_buried_time,104.8924669506618,0.8160882762687535,7079.320509114939,Distributed
