"Map","agent","total_buried_time"
"america03","distributed",51662.5909090909
"america04","distributed",46568.36
"america20","distributed",57416.0416666667
"america35","distributed",61467.8695652174
"america52","distributed",52178.8260869565
"argentina10","distributed",52518.0869565217
"argeria01","distributed",13952.85
"argeria07","distributed",23179.7407407407
"austria08","distributed",35721.4814814815
"austria13","distributed",30758.8461538462
"austria20","distributed",25046.1923076923
"austria22","distributed",47316.64
"austria32","distributed",42224.3181818182
"austria37","distributed",42280.28
"belgium04","distributed",57550.16
"belize01","distributed",55572.44
"belize04","distributed",47754.0909090909
"bolivia01","distributed",31231.037037037
"bulgaria05","distributed",31797.875
"bulgaria06","distributed",39674.1739130435
"burundi03","distributed",39372.0952380952
"canada33","distributed",35669.84
"canada34","distributed",42199.5238095238
"chile01","distributed",44584.3181818182
"chile03","distributed",45215.9545454545
"chile21","distributed",18530.0476190476
"chile23","distributed",43905.76
"chile39","distributed",25128.7407407407
"chile47","distributed",22910.72
"china10","distributed",18884.92
"china19","distributed",18074.8636363636
"china41","distributed",27530.9130434783
"congo10","distributed",48500.12
"croatia07","distributed",34170.6956521739
"cuba02","distributed",37103.4230769231
"ecuador01","distributed",20927.0384615385
"ejypt04","distributed",46562.32
"eritrea02","distributed",18045.5384615385
"germany08","distributed",32538.1666666667
"germany17","distributed",55352.2222222222
"greece06","distributed",50627.9583333333
"greece22","distributed",48210.7826086957
"hukuoka01","distributed",29018.4166666667
"hungary01","distributed",35648.7777777778
"ibaragi","distributed",41179.4
"iceland06","distributed",19783.0769230769
"iceland07","distributed",30603.4615384615
"india06","distributed",29611
"india10","distributed",39665.1666666667
"india13","distributed",26664.4
"indonesia43","distributed",50400.9615384615
"indonesia63","distributed",58182.375
"indonesia79","distributed",49478.2608695652
"indonesia80","distributed",49834.28
"ishikawa","distributed",42845.9583333333
"italy16","distributed",23933.56
"italy36","distributed",27864.2727272727
"italy54","distributed",49614.2
"mongolia05","distributed",16617.76
"myanmar03","distributed",45081
"myanmar11","distributed",41099.6666666667
"myanmar12","distributed",44371.8888888889
"myanmar13","distributed",43583.1153846154
"myanmar14","distributed",44722.8461538462
"myanmar15","distributed",43641.3684210526
"nara01","distributed",53619.5217391304
"netherlands04","distributed",61657.0476190476
"new-zealand02","distributed",41132.8076923077
"new-zealand20","distributed",30437.1666666667
"okayama","distributed",33140.6363636364
"peru13","distributed",35986.4583333333
"peru17","distributed",16450.037037037
"peru19","distributed",39790.1428571429
"peru24","distributed",14460.84
"philippines20","distributed",57219.1111111111
"philippines22","distributed",61173.4230769231
"philippines25","distributed",54796.0416666667
"philippines30","distributed",49226.56
"philippines34","distributed",57691.4
"romania06","distributed",15703
"russia08","distributed",34374.7826086957
"sapporo","distributed",38863.45
"serbia02","distributed",37893.6818181818
"serbia04","distributed",36909.48
"singapore20","distributed",27783.3333333333
"slovenia06","distributed",38195.9230769231
"slovenia10","distributed",26949.5263157895
"spain07","distributed",53039.3913043478
"tokyo03","distributed",33135.0833333333
"tokyo12","distributed",56767.72
"tokyo21","distributed",42015
"turkey13","distributed",17063.4347826087
"turkey18","distributed",32040.88
"turkey33","distributed",23802.625
"ukraine01","distributed",35937.1666666667
"ukraine11","distributed",37436.9565217391
"ukraine12","distributed",41821.8947368421
"venezuela01","distributed",10097.08
"venezuela02","distributed",11606.48
"yamanashi","distributed",51570.5909090909
