Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
d_value,-2.5068602603266505,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
c5,2.2348225237219776,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
c14,1.3584008136235575,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
c15,0.7694270062449424,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
bridges_ratio,-0.7680941990238108,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
c16,-0.5928522375876903,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
c13,-0.5913703532759416,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
rosval_mean,0.43689128954930645,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
c10,-0.3829129277405579,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
centralization_degree,-0.32597722493470477,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
orientation_entropy,0.31874012247715744,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
c11,-0.2927712455547332,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
c7,-0.07458396948246589,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
getis_gi_degree_mean,-0.01915324648012356,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
moran_i_degree,-0.012541071901558601,All_Features,total_health,0.046810135060046665,0.8948489659487142,1.75153879608536,Distributed
