"Map","agent","total_health"
"america03","distributed",80.512
"america04","distributed",80.307
"america20","distributed",79.02
"america35","distributed",78.392
"america52","distributed",82.7236666666667
"argentina10","distributed",80.9526666666667
"argeria01","distributed",92.0786666666667
"argeria07","distributed",83.5736666666667
"austria08","distributed",80.0963333333333
"austria13","distributed",80.6716666666667
"austria20","distributed",81.8793333333333
"austria22","distributed",81.4933333333333
"austria32","distributed",83.706
"austria37","distributed",83.5026666666667
"belgium04","distributed",79.0153333333333
"belize01","distributed",80.277
"belize04","distributed",82.6426666666667
"bolivia01","distributed",84.706
"bulgaria05","distributed",77.7373333333333
"bulgaria06","distributed",79.8156666666667
"burundi03","distributed",80.326
"canada33","distributed",81.504
"canada34","distributed",81.8153333333333
"chile01","distributed",84.8153333333333
"chile03","distributed",81.9126666666667
"chile21","distributed",83.9346666666667
"chile23","distributed",83.7493333333333
"chile39","distributed",90.2276666666667
"chile47","distributed",91.2583333333333
"china10","distributed",89.7906666666667
"china19","distributed",90.9283333333333
"china41","distributed",85.0353333333333
"congo10","distributed",83.108
"croatia07","distributed",81.6753333333333
"cuba02","distributed",81.611
"ecuador01","distributed",91.019
"ejypt04","distributed",76.986
"eritrea02","distributed",87.8613333333333
"germany08","distributed",84.928
"germany17","distributed",78.008
"greece06","distributed",82.3056666666667
"greece22","distributed",83.3943333333333
"hukuoka01","distributed",89.767
"hungary01","distributed",81.6876666666667
"ibaragi","distributed",81.2113333333333
"iceland06","distributed",87.265
"iceland07","distributed",82.8153333333333
"india06","distributed",84.746
"india10","distributed",80.973
"india13","distributed",86.183
"indonesia43","distributed",82.0573333333333
"indonesia63","distributed",79.834
"indonesia79","distributed",80.286
"indonesia80","distributed",82.3593333333333
"ishikawa","distributed",83.7673333333333
"italy16","distributed",85.61
"italy36","distributed",86.1966666666667
"italy54","distributed",81.504
"mongolia05","distributed",90.7166666666667
"myanmar03","distributed",78.1746666666667
"myanmar11","distributed",78.6536666666667
"myanmar12","distributed",77.3693333333333
"myanmar13","distributed",78.0203333333333
"myanmar14","distributed",78.6736666666667
"myanmar15","distributed",79.2993333333333
"nara01","distributed",80.206
"netherlands04","distributed",78.6926666666667
"new-zealand02","distributed",80.3496666666667
"new-zealand20","distributed",88.3956666666667
"okayama","distributed",85.6363333333333
"peru13","distributed",85.9326666666667
"peru17","distributed",92.9303333333333
"peru19","distributed",84.899
"peru24","distributed",93.988
"philippines20","distributed",78.6046666666667
"philippines22","distributed",78.1646666666667
"philippines25","distributed",81.675
"philippines30","distributed",79.4056666666667
"philippines34","distributed",80.1396666666667
"romania06","distributed",90.6353333333333
"russia08","distributed",83.3063333333333
"sapporo","distributed",81.6516666666667
"serbia02","distributed",81.1263333333333
"serbia04","distributed",81.8816666666667
"singapore20","distributed",83.6333333333333
"slovenia06","distributed",85.283
"slovenia10","distributed",83.6876666666667
"spain07","distributed",81.9086666666667
"tokyo03","distributed",83.982
"tokyo12","distributed",80.8673333333333
"tokyo21","distributed",83.55
"turkey13","distributed",91.5213333333333
"turkey18","distributed",83.504
"turkey33","distributed",88.356
"ukraine01","distributed",83.9933333333333
"ukraine11","distributed",80.433
"ukraine12","distributed",79.0506666666667
"venezuela01","distributed",95.2786666666667
"venezuela02","distributed",94.7653333333333
"yamanashi","distributed",80.908
