Variable,Coefficient,FeatureSet,TargetVariable,Lambda,R_Squared,RMSE,AgentType
c16,-13.696890726010945,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
c15,9.612481266130612,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
c14,-7.464254449535784,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
c2,4.091753166384794,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
c1,-2.730236002675481,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
c13,-2.7280434316491586,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
bridges_ratio,-2.7049118038476565,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
c5,-2.234940245866176,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
getis_gi_degree_mean,-1.827936969047929,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
moran_i_degree,1.646926485233256,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
c9,-1.6171367822586675,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
centralization_degree,1.0700830177995575,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
c12,1.0628397896180617,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
rosval_mean,-0.8363109640036609,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
assortativity,0.7269306437888956,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
c8,-0.6140113120837213,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
orientation_entropy,-0.4962035757971159,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
degree_sd,-0.48002159692762186,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
c7,0.44310868548578797,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
d_value,0.0823522863796604,All_Features,transport_rate,0.07512814050754438,0.8033699885338336,7.167334652473422,Distributed
