"Map","agent","transport_rate"
"america03","distributed",73.2903333333333
"america04","distributed",73.696
"america20","distributed",64.148
"america35","distributed",63.3986666666667
"america52","distributed",69.8373333333333
"argentina10","distributed",68.2556666666667
"argeria01","distributed",77.3153333333333
"argeria07","distributed",74.51
"austria08","distributed",72.7676666666667
"austria13","distributed",81.6333333333333
"austria20","distributed",76.0056666666667
"austria22","distributed",69.215
"austria32","distributed",67.3756666666667
"austria37","distributed",61.4123333333333
"belgium04","distributed",67.929
"belize01","distributed",43.333
"belize04","distributed",65.4183333333333
"bolivia01","distributed",76.0003333333333
"bulgaria05","distributed",70.0816666666667
"bulgaria06","distributed",75.6006666666667
"burundi03","distributed",69.2223333333333
"canada33","distributed",64.4853333333333
"canada34","distributed",68.92
"chile01","distributed",66.0783333333333
"chile03","distributed",75.71
"chile21","distributed",82.0946666666667
"chile23","distributed",64.279
"chile39","distributed",72.623
"chile47","distributed",75.763
"china10","distributed",82.6706666666667
"china19","distributed",73.388
"china41","distributed",73.4263333333333
"congo10","distributed",39.2773333333333
"croatia07","distributed",47.5636666666667
"cuba02","distributed",74.5333333333333
"ecuador01","distributed",70.64
"ejypt04","distributed",74.438
"eritrea02","distributed",87.2186666666667
"germany08","distributed",69.044
"germany17","distributed",68.3893333333333
"greece06","distributed",68.219
"greece22","distributed",55.3256666666667
"hukuoka01","distributed",75.7436666666667
"hungary01","distributed",72.036
"ibaragi","distributed",57.098
"iceland06","distributed",78.793
"iceland07","distributed",68.1346666666667
"india06","distributed",75.3153333333333
"india10","distributed",67.278
"india13","distributed",75.1483333333333
"indonesia43","distributed",58.5006666666667
"indonesia63","distributed",46.1546666666667
"indonesia79","distributed",64.796
"indonesia80","distributed",59.2656666666667
"ishikawa","distributed",63.2463333333333
"italy16","distributed",74.0183333333333
"italy36","distributed",62.4406666666667
"italy54","distributed",63.885
"mongolia05","distributed",74.661
"myanmar03","distributed",55
"myanmar11","distributed",69.8203333333333
"myanmar12","distributed",36.6666666666667
"myanmar13","distributed",36.8333333333333
"myanmar14","distributed",44.2223333333333
"myanmar15","distributed",58.4726666666667
"nara01","distributed",22.7776666666667
"netherlands04","distributed",62.663
"new-zealand02","distributed",64.521
"new-zealand20","distributed",71.204
"okayama","distributed",71.8433333333333
"peru13","distributed",71.464
"peru17","distributed",71.109
"peru19","distributed",72.5893333333333
"peru24","distributed",79.02
"philippines20","distributed",65.4833333333333
"philippines22","distributed",38.833
"philippines25","distributed",58.8576666666667
"philippines30","distributed",66.093
"philippines34","distributed",56.0553333333333
"romania06","distributed",75.928
"russia08","distributed",70.944
"sapporo","distributed",73.318
"serbia02","distributed",43.111
"serbia04","distributed",65.1916666666667
"singapore20","distributed",75.5423333333333
"slovenia06","distributed",65.3523333333333
"slovenia10","distributed",57.2226666666667
"spain07","distributed",65.9243333333333
"tokyo03","distributed",42.5
"tokyo12","distributed",51.457
"tokyo21","distributed",41.3886666666667
"turkey13","distributed",82.274
"turkey18","distributed",75.8323333333333
"turkey33","distributed",74.705
"ukraine01","distributed",71.4546666666667
"ukraine11","distributed",73.375
"ukraine12","distributed",67.8893333333333
"venezuela01","distributed",85.1503333333333
"venezuela02","distributed",84.8433333333333
"yamanashi","distributed",63.8093333333333
