"Map","agent","final_alive","total_health","transport_rate","road_clear_rate","buried_rescue_rate","dist_per_rescue","dist_per_transport","total_buried_time","rsl21_rate"
"america03","concentration2_cluster_9_group_none",81.8753333333333,80.603,77.9276666666667,55.554,21.701,80789591.8440909,372524702.964091,51323.3636363636,0.312560878243513
"america04","concentration2_cluster_9_group_none",81.989,80.477,73.0513333333333,43.084,17.1633333333333,108846465.05,502860040.3088,46047.28,0.312594252873563
"america20","concentration2_cluster_9_group_none",80.2476666666667,79.095,71.3406666666667,24.3083333333333,8.25366666666667,192761241.878333,875771355.962083,57187.75,0.286117647058824
"america35","concentration2_cluster_9_group_none",80.0773333333333,78.5033333333333,73.812,37.9373333333333,12.935,119612358.468696,471475717.122174,60850.7391304348,0.275431773879142
"america52","concentration2_cluster_9_group_none",84.1423333333333,82.7783333333333,73.8006666666667,50.184,18.1993333333333,110037489.307391,682255466.722174,51683.6086956522,0.358067555555556
"argentina10","concentration2_cluster_9_group_none",82.232,81.0253333333333,79.4246666666667,34.035,11.6286666666667,184217875.18087,752448550.873478,52008.5217391304,0.320448412698413
"argeria01","concentration2_cluster_9_group_none",92.9933333333333,92.0516666666667,90.638,68.9783333333333,30.241,84820803.1025,674928528.919,14048.6,0.627564539007092
"argeria07","concentration2_cluster_9_group_none",86.7763333333333,83.8763333333333,79.8753333333333,82.2276666666667,37.96,55426845.8985185,253019218.604815,22661.4444444444,0.393932234432234
"austria08","concentration2_cluster_9_group_none",82.1216666666667,80.2416666666667,78.6346666666667,47.4083333333333,21.7366666666667,84088933.3722222,387631338.760741,35420.7037037037,0.308543939393939
"austria13","concentration2_cluster_9_group_none",82.6946666666667,80.717,84.0026666666667,47.1916666666667,18.6543333333333,105301946.861923,401300458.158077,30483.6923076923,0.319333333333333
"austria20","concentration2_cluster_9_group_none",82.967,81.8763333333333,82.9456666666667,53.9296666666667,17.6756666666667,101599652.268077,379240965.760769,24788.4615384615,0.338208092485549
"austria22","concentration2_cluster_9_group_none",83.0053333333333,81.59,76.3946666666667,54.2443333333333,17.4873333333333,96283026.3356,467807641.6584,46371.76,0.334950264550265
"austria32","concentration2_cluster_9_group_none",85.4436666666667,83.5183333333333,75.5736666666667,77.7136666666667,33.213,71597018.0504545,367209561.590455,41641.6818181818,0.377691131498471
"austria37","concentration2_cluster_9_group_none",86.0186666666667,83.8766666666667,64.523,85.8073333333333,37.853,67444750.356,452696693.9608,41010.16,0.385602794411178
"belgium04","concentration2_cluster_9_group_none",80.1426666666667,79.092,70.4523333333333,31.231,8.43533333333333,148500916.8756,561949973.6448,57060.72,0.283732106339468
"belize01","concentration2_cluster_9_group_none",81.0796666666667,80.2746666666667,52.2776666666667,25.8426666666667,2.78766666666667,146872709.6868,577971762.5108,55530.4,0.305814814814815
"belize04","concentration2_cluster_9_group_none",84.3193333333333,82.824,76.204,58.8423333333333,21.297,66376557.0959091,407567645.536364,46545.9545454545,0.359181459566075
"bolivia01","concentration2_cluster_9_group_none",85.707,84.791,87.6113333333333,52.9076666666667,10.4246666666667,119038122.40037,556021191.533333,31060.4074074074,0.403658436213992
"bulgaria05","concentration2_cluster_9_group_none",78.8886666666667,77.833,71.373,35.5903333333333,10.7776666666667,106709726.4525,453237596.0275,31640.9583333333,0.265124074074074
"bulgaria06","concentration2_cluster_9_group_none",81.7146666666667,79.936,76.2143333333333,64.1353333333333,29.512,64669233.3552174,294631634.523913,38286.0434782609,0.304893499308437
"burundi03","concentration2_cluster_9_group_none",81.172,80.3463333333333,57.7776666666667,30.0796666666667,4.061,164241762.899524,479165776.308571,39537.619047619,0.306878531073446
"canada33","concentration2_cluster_9_group_none",83.1223333333333,81.6043333333333,73.1936666666667,51.7713333333333,17.257,158012755.124,588169948.0224,35452.52,0.334924050632911
"canada34","concentration2_cluster_9_group_none",83.728,81.9383333333333,76.3923333333333,57.8526666666667,20.9916666666667,136198236.765714,583425614.977619,42276.0476190476,0.342863799283154
"chile01","concentration2_cluster_9_group_none",86.053,84.796,72.9613333333333,71.081,25.631,79113022.9754545,474789807.869091,43688.0909090909,0.403698666666667
"chile03","concentration2_cluster_9_group_none",82.9983333333333,81.9926666666667,84.1083333333333,44.06,18.5936666666667,111811694.883182,475544330.185455,44775.3181818182,0.340563218390805
"chile21","concentration2_cluster_9_group_none",86.847,83.788,82.8886666666667,76.186,40.9916666666667,49438978.857619,260202671.300952,18253.1904761905,0.395165532879819
"chile23","concentration2_cluster_9_group_none",85.11,83.8703333333333,77.7143333333333,59.3663333333333,20.9263333333333,81600331.3288,496029758.1908,42726.36,0.382515968063872
"chile39","concentration2_cluster_9_group_none",92.9863333333333,90.4,74.062,97.344,62.338,46608172.2848148,418739607.044444,24993.2222222222,0.577827555555556
"chile47","concentration2_cluster_9_group_none",93.6086666666667,91.594,81.5663333333333,92.7603333333333,62.2693333333333,44616320.2728,411294346.2452,20688.84,0.617840888888889
"china10","concentration2_cluster_9_group_none",91.9976666666667,90.0733333333333,85.128,76.032,44.9383333333333,56551706.0508,451833998.1016,17658.6,0.56598347107438
"china19","concentration2_cluster_9_group_none",93.455,91.2353333333333,77.623,95.0286666666667,53.899,60124311.5777273,543113137.822727,17779.4090909091,0.605893719806763
